Study ID,Outbreak start year,Outbreak end year,Location,Country,Country 3-letter ISO,Admin0_1,Admin0_2,Admin1,WHO region,Diagnostic method,Diagnostic method_1,Diagnostic method_2,Diagnostic method_3,Diagnostic method_4,Diagnostic method_5,Diagnostic method_6,Diagnostic method_7,Diagnostic method_8,Diagnostic method_9,,Suspected/Confirmed/Probable,AMR status,Intervention,Time unit,Start date,End date,Peak date,Intervention date,Case definitions,reporting date(by date of onset / confirmation date / NA),Total suspected cases,Lab tested cases by blood/bone marrow culture,Total confirmed cases,Confirmed cases by blood/ bone marrow culture,Total probable cases,Number of hospitalized,Number of complications,Total deaths,Attack rate (%),CFR (%),Population,Notes
,,,,,,,,,,,Blood culture,Bone marrow culture,Faecal culture,Urine culture,Culture (not specified),Clinical Symptoms,Widal test,TUBEX,etc.,,,,,,,,,,,,,,,,,,,,,,,
Aye 2004,2000,2000,"Madaya, Myanmar",Myanmar,MMR  ,Myanmar,,Madaya,SEAR,"Blood culture, Diazo urine test, Widal test",Yes,,,Yes,,,Yes,,,,Suspected/Confirmed/Probable,susceptible,CHLO/ANTI/EDU,weekly,2000-08-01,2000-09-30,2000-09-10,-,"Suspected: a person suffering from sustained fever (7 days and more) with one of the abdominal symptoms (constipation, abdominal pain, diarrhoea /bloody diarrhoea, malaena)4 in Mweponkan village between 1st August 2000 and 30th September 2000. 
Probable: a suspected case with positive Diazo Urine Test or positive widal test. 
Confirmed: a case with clinical symptoms with positive culture for S.typhi. [blood]",Date of onset,49 ,22 ,3 ,3 ,33 ,31,1,-,2.9,-,1102,"Case-control - defined cases for the case-control analysis as probable cases

Attack rate: when the authors stratified by area all cases were found to occur in the south part of the village and caused the attack rate of the southern part equal to 2.9 % (33/1102).

"
Michel 2005,2001,2001,"Abidjan, Cote d'Ivoire",Cote d'Ivoire,CIV  ,Cote d'Ivoire,,Abidjan,AFR,Blood culture,Yes,,,,,,,,,,Suspected/Confirmed,quinolones,ANTI,daily,2001-08-23,2001-09-17,2001-09-07,-,"Suspected: French troops in the Ivory Coast soldiers who had a maximum rectal temperature >= 38.5 C of undetermined etiology and at least one of the following clinical symptoms: chill, headache, gastrointestinal or neurological disorders occurring between August 20 and September 20, 2001. 
Confirmed: when, in addition to the above clinical criteria, direct or indirect laboratory diagnosis of Salmonella Typhi infection was made (isolation of Salmonella Typhi from the blood or stools or seroconversion defined as at least a fourfold increase in anti-TO or anti-TH antibody titers).",Date of onset,10 ,6 ,5 ,5 ,9 ,-,-,-,-,-,570,"Retrospective cohort: Of the 94 people interviewed, 24 were suspected, Vaccinated population

5/6 were blood cultured confirmed, 9 were confirmed via seroconversion. Does not provide information on how many in total were tested by seroconversion. 

Due to WHO definition, these 9 were moved to probable by study team"
Lewis 2005,2002,2002,"Bharatpur, Nepal",Nepal,NPL  ,Nepal,,Bharatpur,SEAR,Blood culture,Yes,,,,,,,,,,Suspected/Confirmed,MDR,CHLO,daily,2002-05-24,2002-07-14,2002-06-09,2002-06-12,"Suspected: fever known or clinically suspected to be caused by S. enterica serotype Typhi as recorded by the admitting physician
Confirmed: culture-confirmed [blood]",NA,5963 ,104 ,39 ,39 ,-,2184,3,4,6.49,-,92214,-
Al-Sanouri 2008,2004,2004,Jordan,Jordan,JOR  ,Jordan,,,EMR,"Blood culture, Faecal culture",Yes,,Yes,,,,,,,,Suspected/Confirmed,MDR,-,weekly,2004-10-30,2004-12-31,2004-12-11,-,"Suspected: exhibited fever (¡Ã 39¨¬C), abdominal pain and diarrhoea, and were treated with ceftriaxone intravenous therapy with favourable outcome.
Confirmed: positive on blood or fecal culture",NA,83 ,-,24 ,20 ,-,-,-,-,-,-,-,"Among the epidemic cases, 20 samples were positive by blood culture and 5 samples by faecal culture (one patient was positive for both faeces and blood)"
Muehlen 2007,2004,2004,"Leipzig, Germany",Germany,DEU  ,Germany,,Leipzig,EUR,"Blood culture, Widal test and/or specific ELISA",Yes,,,,,,Yes,,Yes,,Suspected/Confirmed/Probable,-,-,daily,2004-06-08,2004-06-15,2004-06-12,-,"Suspected: a person with unexplained fever of at least 38.5C for three or more days since 1 May 2004 (corresponding to date of symptom onset of index cases minus twice the maximum incubation period of 30 days and an additional two weeks as a safety margin) and up to 31 July 2004
Probable: additional positive serological reactions (Widal test and/or specific ELISA)
Confirmed: isolation of STyphi from blood or stool cultures",Date of onset,6 ,6 ,4 ,-,1 ,3,-,-,-,-,-,All suspected cases underwent blood and stool examination. Number of confirmed cases by blood/stool were not provided
Muyembe-Tamfum 2009,2004,2005,"Kinshasa, DRC",DRC,COD  ,DRC,,Kinshasa,AFR,"Blood culture, Surgically diagnosed",Yes,,,,,Yes,,,,,Suspected/Confirmed,MDR,surgery/ANTI,daily,2004-10-01,2004-12-31,2004-10-27,2004-10-01,"Suspected: patients admitted with peritonitis in the General Reference Kinshasa Hospital, General Ndjili Hospital, Roi Baudoin hospital and the The University of Kinshasa Hospital between October 2004 and January 2005
Confirmed: a case of peritonitis for which laboratory confirmation was obtained by culture. [blood]",NA,144 ,16 ,11 ,11 ,-,144,63,64,-,44.4,-,"Epi curve does not distinguish between suspected and confirmed cases. Only investigated those admitted to hospital for peritonitis (all 144 suspected) - may explain high death count. 

Sixty-four of the 144 patients admitted to hospital died (Case Fatality Rate 44.4%). Case fatality rate among patients with surgical intervention was much lower (9.3%)."
Holt 2011,2004,2005,"Mekong river delta, Vietnam",Vietnam,VNM  ,Vietnam,,Mekong river delta,SEAR,Blood culture,Yes,,,,,,,,,,Confirmed,MDR,-,monthly,2004-01-01,2005-12-31,2005-03-15,-,"Suspected: clinically suspected (did not provide specifics)
Confirmed: culture confirmed [blood or bone marrow]",NA,-,358 ,287 ,287 ,-,-,-,-,-,-,-,"this study cites the original RCT study in which this data is obtained from, which is detailed further in: Dolecek C, Tran TP, Nguyen NR, et al. A multi-center randomised controlled trial of gatifloxacin versus azithromycin for the treatment of uncomplicated typhoid fever in children and adults in Vietnam. PLoS One. 2008;3(5):e2188. Published 2008 May 21. doi:10.1371/journal.pone.0002188
Here, they describe 460 suspected cases, 288 confirmed (1 was excluded from study due to pre-treatment, which is why in current Holt 2011 study, confirmed # is 287)
Adults and children over 6 months of age were eligible to be included in the study if they had clinically suspected or culture-confirmed uncomplicated typhoid fever and if fully informed written consent had been obtained.
The 267 isolates presented in this study constitute nearly the full complement of 287 S. Typhi isolated from culture-confirmed typhoid patients enrolled in the trial"
Keddy 2011,2005,2005,"Delmas, South Africa",South Africa,ZAF  ,South Africa,,Delmas,AFR,"Culture(not specified), MLVA",,,,,Yes,,,,Yes,,Suspected/Confirmed,susceptible,-,daily,2005-08-31,2005-09-21,2005-09-14,-,"Suspected: pyrexia >=38 C for 48 h and a history of living
in or travel to the Delmas area.
Confirmed: culture-confirmed [unknown]",NA,600 ,-,49 ,-,-,-,-,-,-,-,-,"Case-control

Specimen type for case confirmation not clear. Total number of suspected lab tested not clear. Reason for only 520 in epi curve not clear"
Neil 2012,2007,2009,"Kasese, Uganda",Uganda,UGA  ,Uganda,,Kasese,AFR,"Blood culture, Faecal culture",Yes,,Yes,,,,,,,,Suspected/Confirmed,MDR,-,weekly,2007-12-27,2009-07-30,2009-03-15,-,"Suspected: illness with onset between December 27, 2007 and July 30, 2009 in a person with fever, abdominal pain, and >= 1 of the following symptoms: gastrointestinal complaints (ie, vomiting, diarrhea, or constipation), general body weakness, joint pain, headache, no response to antimalarial medications, or IP.
Confirmed: culture-confirmed [blood, serum, stool]",Date of onset,577 ,63 ,27 ,25 ,-,289,249,47,8.09,-,670000,"Total suspected cases was 577, but epi curve excludes 63 patients in which illness onset date was unknown. Provides incidence rates but denominator is number of household members that performed the study survey, not total regional population. 

76 patients underwent TUBEX testing (RDT), but authors did not provide explicit definition for ""probable""

Specimens for culture were collected from 102 case patients, but results were available for only 81, of whom 27 (33%) were laboratory confirmed as Salmonella Typhi infection. Overall, 19 (35%) of 54 blood cultures, 10 (16%) of 61 stool cultures, and 6 (67%) of 9 cultures from an unlabeled source (ie, either blood or stool) were positive."
