Parameter,Value,Lower,Upper,Error,Unit,Source,Notes
Prop_Symptomatic_Infection,0.0426,0.0337,0.0516,NA,Percent [95% CI],"[Weyant, 2024; Vaccine]","Weyant et al. reported a percentage of symptomatic infections as 4.26 % [3.37–5.16] with calibration. [Weyant, 2024; Vaccine]
No other article (Ginny’s group) reported the parameter of symptomatic infection."
Duration_Immunity_Against_Clinical_Infection,19.18,13.34,29.19,NA,Years [95% CI],"[Weyant, 2024; Vaccine]","Weyant et al. reported Duration of immunity against clinical infection as 19.18 years [13.34–29.19] with calibration. [Weyant, 2024; Vaccine]
Antillón et al. reported the Duration of immunity as 104 weeks referencing [Hornick, 1970; NEJM] (Supplementary table 2). Bilcke et al. also reported the Duration of immunity as 104 weeks, exponential sourcing [Hornick, 1970; NEJM] (Table 1). The two articles share co-authors (Ginny’s team) 
"
Case_Fatality_Ratio,0.0249,0.0165,0.0375,,Proportion [95% CI],"[Pieters, 2018; Clin Infect Dis.]",
Duration_Infection,11.8,2,28,,days (range),"[Mamo, 2018; J. Infect. Dis. Immun.]",
Duration_Infection,7,1,150,,days (range),"[Neil, 2012; CID]",
Duration_Infection,12,1,20,NA,days (range),"[Roy, 2016; indian j med res]",
Prop_Infection_Become_Carrier,0.003,NA,NA,NA,Proportion,"[Ames, 1943; Am. J. Public. Health Nations Health ]",<20 yo
Prop_Infection_Become_Carrier,0.053,NA,NA,NA,Proportion,"[Ames, 1943; Am. J. Public. Health Nations Health ]",>=20 yo
Duration_Carriage,10,5,15,NA,Years [95% CI],"[Weyant, 2024; Vaccine]","Weyant et al. reported Duration of carriage as 10 years [5–15] referencing [Ames, 1943; Am J Public Health Nations Health], [Bhan, 2005; Lancet], [Gunn, 2014; Trends Microbiol.]. However, The duration value could not be found in all 3 articles. [Weyant, 2024; Vaccine]
No other modeling article reported the duration of carriage.
"
Relative_Infectiousness_Carrier,0.075,0.055,0.095,NA,Proportion [95% CI],"[Weyant, 2024; Vaccine]","Weyant et al. reported Relative infectiousness of carriers, compared with acute infections as 7.5 % [5.5–9.5] sourcing estimate calibrated from [Lo, 2018; JID]. [Weyant, 2024; Vaccine]
Lo et al. fitted the Relative infectiousness of long-term carriers as frequency distribution below. (Supplementary Figure 1) [Lo, 2018; JID]"
Relative_Infectiousness_Carrier,0.35,0.15,0.67,NA,Proportion [95% CI],[Antillón et al (2017)],"Antillón et al. estimated a prior distribution for the relative infectiousness of chronic carriers (r) by leveraging data from a cluster-randomized study of Vi-polysaccharide vaccine in Kolkata which uses the same data. However, Antillón estimates the Relative infectiousness of carriers as a fraction of 0.35 (0.15, 0.67) (Supplementary table 2) [Antillón, 2017; Vaccine.]"
Relative_Infectiousness_Carrier,0.25,,,NA,Proportion,"[Bilcke, 2019; Lancet ID]","Blicke et al., estimated relative infectiousness of carriers compared with acute infection as 0.25 with beta distribution of (a=6·34, b=19·4). Blicke noted that they retrieved the indirect protection data observed from Vi-polysaccharide vaccine cluster-randomised trial in Kolkata, India.[Sur, 2009; NEJM] (Table 1) [Bilcke, 2019; Lancet ID]"
Vaccine_Efficacy_Direct_MA,0.83,0.79,0.88,NA,Proportion [95% CI],"[Batool, 2024; Lancet Global Health]",
Vaccine_Efficacy_Direct_MA_U5,0.73,0.53,0.85,NA,Proportion [95% CI],"[Batool, 2024; Lancet Global Health]",
Vaccine_Efficacy_Direct_MA_5P,0.87,0.8,0.91,NA,Proportion [95% CI],"[Batool, 2024; Lancet Global Health]",
Vaccine_Efficacy_Direct_Patel,0.783,0.663,0.861,NA,Proportion [95% CI],"[Patel, 2024; Lancet]",4.61 years follow-up trial in Malawi
Vaccine_Efficacy_Direct_Shakya,0.79,0.619,0.885,NA,Proportion [95% CI],"[Shakya, 2021; Lancet Global Health]",2 years follow-up trial in Nepal
Vaccine_Efficacy_Direct_Qadri,0.85,0.76,0.91,NA,Proportion [95% CI],"[Qadri, 2021, Lancet]",17.1 months follow-up trial in Bangladesh
Vaccine_Efficacy_Indirect_Qadri,0.19,-0.12,0.41,NA,Proportion [95% CI],"[Qadri, 2021, Lancet]",
Duration_Immunity,10,NA,NA,NA,Years,"[Patel, 2024; Lancet]","The following calculation was estimated through linear regression analysis with the 5 efficacy points derived from Patel et al.(2024).[Patel, 2024; Lancet]"
Onset_Vaccine_Derived_Protection,10,NA,NA,NA,Days,"[Chen, 2016; CID]","Although Vaxchora is not a conjugate vaccine, the trial of OCV shows 90.3% efficacy in 10 days."
Onset_Vaccine_Derived_Protection,7,NA,NA,NA,Days,"[Moreira, 2022; NEJM]","one COVID-19 Pfizer booster vaccine trial suggested that at least in 7 days, the vaccine efficacy could be obtained as 47.3%."
