Disease,Parameter,Unit,Value,SD,Lower_95,Upper_95,Min,Max,Reference,Note,
Cholera,Duration_Illness,Day,2,,,,,12,Weil (2009) Clin Infect Dis,,
Cholera,Prop_Asymptomatic,Proportion,0.745,,,,,,Jackson (2013) Am J Trop Med Hyg.,,
Cholera,Prop_Mild,Proportion,0.069,,,,,,Jackson (2013) Am J Trop Med Hyg.,,
Cholera,Prop_Moderate,Proportion,0.097,,,,,,Jackson (2013) Am J Trop Med Hyg.,,
Cholera,Prop_Severe,Proportion,0.09,,,,,,Jackson (2013) Am J Trop Med Hyg.,,
Cholera,Disability_Weight_Asymptomatic,Proportion,0,,,,,,GBD 2017 Disease and Injury Incidence and Prevalence Collaborators (2018) Lancet,,
Cholera,Disability_Weight_Mild,Proportion,0.074,,,,,,GBD 2017 Disease and Injury Incidence and Prevalence Collaborators (2018) Lancet,,
Cholera,Disability_Weight_Moderate ,Proportion,0.188,,0.125,0.264,,,GBD 2017 Disease and Injury Incidence and Prevalence Collaborators (2018) Lancet,,
Cholera,Disability_Weight_Severe,Proportion,0.247,,0.164,0.348,,,GBD 2017 Disease and Injury Incidence and Prevalence Collaborators (2018) Lancet,,
Cholera,Duration_Campaign_Median,Day,5,NA,NA,NA,NA,NA,Pezzoli (2020) Vaccine,,
Cholera,Duration_Campaign,Day,5,2.94,NA,NA,3,NA,Edosa (2024) Clin Infect Dis & Pezzoli (2020) Vaccine,,
Cholera,Duration_Campaign_Ethiopia,Day,8.55,1.96,NA,NA,5,11,Edosa (2024) Clin Infect Dis,Lower_95 is an assumption,
Cholera,Rate_Discount,Per Year,0.03,,,,,,Jeuland (2009) Value in Health,,
Cholera,Efficacy_Vaccine,Proportion,0.64,,0.58,0.7,,,Bi et al. (2017) Lancet Infect Dis,,
Cholera,Efficacy_Vaccine_U5,Proportion,0.3,,0.15,0.42,,,Bi et al. (2017) Lancet Infect Dis,,
Cholera,Delay_Vacc_Eff,Day,10.5,,,,3,21,Quiding (1991) J Clin Invest; Kanungo (2009) Vacine; Chac (2021) Infection and Immunity; Chowdhury (2020) PLoS Neglected Tropical Diseases; Raghava (2019) PLoS One; Charles (2014) PLoS Neglected Tropical Diseases,Lower_95 chosen to be within the observed minimum,
Cholera,Year_Reference,Year,2022,,,,,,,,
Cholera,Vaccine_Cost,US Dollar,1.65,,NA,NA,,,UNICEF (2024) OCV Vaccines Prices,,
Cholera,Vaccine_Delivery_Cost,US Dollar,0.91,,NA,NA,,,Sarker (2022) Vaccine: X; USD$0.65 from Gavi (2023) Vaccine Funding Guidelines,,
Cholera,Vaccine_Shipping_Cost,US Dollar,0.06,,NA,NA,,,UNICEF (2024) Emergency Stockpile Availability Report OCV,,
Cholera,Discount,NA,0.03,,NA,NA,,,Jeuland (2009) Value in Health,,
Cholera,Patient_Cost_Hosp,US Dollar,38.87,,NA,NA,,,Mogasale (2021) BMJ Open,,
Cholera,Patient_Cost_Outpt,US Dollar,5.71,,NA,NA,,,Mogasale (2021) BMJ Open,,
Cholera,Public_Cost_Hosp,US Dollar,65.77,,NA,NA,,,Mogasale (2021) BMJ Open,,
Cholera,Public_Cost_Outpt,US Dollar,2.84,,NA,NA,,,Mogasale (2021) BMJ Open,,
Cholera,Pt_Workdays_Lost,Days,5.76,,NA,NA,,,Mogasale (2021) BMJ Open,,
