study_id,outbreak_start_year,outbreak_end_year,location,country,country_iso,admin0_1,admin0_2,admin1,WHO_region,type_cases,amr_status,intervention,time_unit,start_date,end_date,peak_date,intervention_date,reporting_date,tot_suspected_cases,lab_tested_cases,tot_confirmed_cases,lab_confirmed_cases,tot_probable_cases,hospitalized,complicated,tot_deaths,attack_rate,cfr,population
Aye 2004,2000,2000,"Madaya, Myanmar",Myanmar,MMR  ,Myanmar,,Madaya,SEAR,Suspected/Confirmed/Probable,susceptible,CHLO/ANTI/EDU,weekly,2000-08-01,2000-09-30,2000-09-10,-,Date of onset,49,22,3,3,33,31,1,-,2.9,-,1102
Michel 2005,2001,2001,"Abidjan, Cote d'Ivoire",Cote d'Ivoire,CIV  ,Cote d'Ivoire,,Abidjan,AFR,Suspected/Confirmed,quinolones,ANTI,daily,2001-08-23,2001-09-17,2001-09-07,-,Date of onset,10,6,5,5,9,-,-,-,-,-,570
Lewis 2005,2002,2002,"Bharatpur, Nepal",Nepal,NPL  ,Nepal,,Bharatpur,SEAR,Suspected/Confirmed,MDR,CHLO,daily,2002-05-24,2002-07-14,2002-06-09,2002-06-12,NA,5963,104,39,39,-,2184,3,4,6.49,-,92214
Al-Sanouri 2008,2004,2004,Jordan,Jordan,JOR  ,Jordan,,,EMR,Suspected/Confirmed,MDR,-,weekly,2004-10-30,2004-12-31,2004-12-11,-,NA,83,-,24,20,-,-,-,-,-,-,-
Muehlen 2007,2004,2004,"Leipzig, Germany",Germany,DEU  ,Germany,,Leipzig,EUR,Suspected/Confirmed/Probable,-,-,daily,2004-06-08,2004-06-15,2004-06-12,-,Date of onset,6,6,4,-,1,3,-,-,-,-,-
Muyembe-Tamfum 2009,2004,2005,"Kinshasa, DRC",DRC,COD  ,DRC,,Kinshasa,AFR,Suspected/Confirmed,MDR,surgery/ANTI,daily,2004-10-01,2004-12-31,2004-10-27,2004-10-01,NA,144,16,11,11,-,144,63,64,-,44.4,164857
Holt 2011,2004,2005,"Mekong river delta, Vietnam",Vietnam,VNM  ,Vietnam,,Mekong river delta,SEAR,Confirmed,MDR,-,monthly,2004-01-01,2005-12-31,2005-03-15,-,NA,-,358,287,287,-,-,-,-,-,-,-
Keddy 2011,2005,2005,"Delmas, South Africa",South Africa,ZAF  ,South Africa,,Delmas,AFR,Suspected/Confirmed,susceptible,-,daily,2005-08-31,2005-09-21,2005-09-14,-,NA,600,-,49,-,-,-,-,-,-,-,-
Neil 2012,2007,2009,"Kasese, Uganda",Uganda,UGA  ,Uganda,,Kasese,AFR,Suspected/Confirmed,MDR,-,weekly,2007-12-27,2009-07-30,2009-03-15,-,Date of onset,577,63,27,25,-,289,249,47,8.09,-,670000
Bayram 2011,2008,2008,"Anatolia, Turkey",Turkey,TUR  ,Turkey,,Anatolia,EUR,Suspected/Confirmed,MDR,CHLO,daily,2008-10-15,2008-10-29,2008-10-19,2008-10-18,NA,637,-,91,76,-,78,-,-,-,-,4700
Scobie 2014,2008,2011,Fiji,Fiji,FJI  ,Fiji,,,WPR,Suspected/Confirmed,-,ViPS vaccine,monthly,2008-01-01,2011-12-31,2010-05-01,2010-06-01,confirmation date,1765,1449,1582,1449,-,183,-,-,-,-,-
Lutterloh 2012,2009,2009,MalawiÐMozambique,MalawiÐMozambique,MWI-MOZ  ,Malawi,Mozambique,,AFR,Suspected/Confirmed/Probable,MDR,CHLO/EDU,fortnightly,2009-03-01,2009-11-13,2009-09-15,-,Date of onset,303,108,46,44,43,81,40,11,-,4,277731
Limpitikul 2014 (1),2009,2010,"Songkhla, Thailand",Thailand,THA  ,Thailand,,Songkhla,SEAR,Confirmed,susceptible,-,monthly,2009-10-01,2010-03-30,2009-12-01,-,NA,-,137,137,137,-,-,-,0,-,-,-
Limpitikul 2014 (2),2010,2011,"Songkhla, Thailand",Thailand,THA  ,Thailand,,Songkhla,SEAR,Confirmed,susceptible,-,monthly,2010-09-01,2011-07-30,2011-01-01,-,NA,-,231,231,231,-,-,-,0,-,-,-
Limpitikul 2014,2009,2011,"Songkhla, Thailand",Thailand,THA  ,Thailand,,Songkhla,SEAR,Confirmed,susceptible,-,monthly,2009-10-01,2011-07-30,-,-,NA,-,368,368,368,-,260,49,-,-,-,-
Hendriksen 2015,2010,2012,"Lusaka, Zambia",Zambia,ZMB  ,Zambia,,Lusaka,AFR,Suspected/Confirmed,MDR,-,monthly,2010-01-01,2012-09-30,2012-02-28,-,NA,2040,-,94,86,-,-,-,10,-,0.5,1420000
"Walters 2014, Kasese",2009,2011,"Kasese, Uganda",Uganda,UGA  ,Uganda,,Kasese,AFR,Suspected/Confirmed,MDR,-,monthly,2009-08-01,2011-12-31,2011-11-30,-,Date of onset,709,74,8,7,-,-,570,-,-,-,694987
"Walters 2014, Bundibugyo",2011,2011,"Bundibugyo, Uganda",Uganda,UGA  ,Uganda,,Bundibugyo,AFR,Suspected/Confirmed,MDR,-,monthly,2011-01-01,2011-12-31,2011-08-31,-,Date of onset,333,72,16,15,-,-,59,-,-,-,224387
Ali 2017,2011,2012,"Kikwit, DRC",DRC,COD  ,DRC,,Kikwit,AFR,Suspected/Confirmed,-,-,weekly,2011-11-06,2012-01-14,2011-12-04,-,NA,1430,66,63,56,-,-,71,17,0.6,1.5,400000
"Polonsky 2014, Dzivaresekwa",2011,2012,"Dzivaresekwa, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Dzivaresekwa,AFR,Confirmed or Suspected,-,-,weekly,2011-10-06,2012-03-17,2011-12-03,-,Date of onset,785,-,-,-,-,-,-,-,0.66,-,118271
Polonsky 2014_Kuwadzana,2011,2012,"Kuwadzana, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Kuwadzana,AFR,Confirmed or Suspected,-,-,weekly,2011-10-27,2012-03-17,2012-01-30,-,Date of onset,1785,-,-,-,-,-,-,-,1.13,-,157396
Polonsky 2014 (total),2011,2012,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,Suspected/Confirmed,-,-,weekly,2011-10-10,2012-03-17,-,-,NA,3795,-,62,-,-,-,-,2,-,0.05,1485231
Muti 2014,2011,2012,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,Suspected/Confirmed,CHL,EDU/WASH,daily,2011-10-08,2012-01-06,2011-11-29,2011-11-25,NA,1078,-,24,-,-,-,0,1,-,-,-
"Imanishi 2014, Dzivaresekwa",2011,2012,"Dzivaresekwa, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Dzivaresekwa,AFR,Confirmed or Suspected,MDR,chlorine tablets,monthly,2011-10-01,2012-04-30,2011-11-01,2011-11-01,Date of onset,1017,-,-,-,-,-,-,-,-,-,97000
"Imanishi 2014, Kuwadzana",2011,2012,"Kuwadzana, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Kuwadzana,AFR,Confirmed or Suspected,MDR,chlorine tablets,monthly,2011-11-01,2012-04-30,2012-01-01,2012-01-01,Date of onset,1965,-,-,-,-,-,-,-,-,-,129000
Imanishi 2014 (total),2011,2012,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,Suspected/Confirmed,MDR,chlorine tablets,monthly,2011-10-01,2012-04-30,-,-,NA,4181,-,52,-,-,1788,-,2,-,-,1485231
Cherian 2015,2013,2013,"Pondicherry, India",India,IND  ,India,,Pondicherry,SEAR,Suspected/Confirmed/Probable,-,ANTI,weekly,2013-07-01,2013-07-21,2013-07-14,-,NA,9,-,2,2,7,4,-,0,3.4,-,226
Roy 2016,2014,2014,"Assam, India",India,IND  ,India,,Assam,SEAR,Suspected/Confirmed/Probable,susceptible,-,daily,2014-01-09,2014-02-06,2014-01-20,-,Date of onset,79,13,6,6,73,-,-,-,1.95,-,-
Kabwama 2017,2015,2015,"Kampala, Uganda",Uganda,UGA  ,Uganda,,Kampala,AFR,Suspected/Confirmed/Probable,MDR,WASH/CHLO,daily,2015-01-01,2015-06-12,2015-03-01,-,Date of onset,10230,364,51,51,1038,-,-,-,0.95,-,1076842
Burnsed 2018,2015,2015,"Oklahoma, USA",USA,USA  ,USA,,Oklahoma,AMR,Suspected/Confirmed,susceptible,WASH/EDU,daily,2015-01-19,2015-03-31,2015-01-31,-,Date of onset,38,-,25,16,-,14,-,0,-,-,-
Qamar 2018,2016,2017,"Hyderabad, Pakistan",Pakistan,PAK  ,Pakistan,,Hyderabad,EMR,Confirmed,XDR,Active surveillance,weekly,2016-11-21,2017-12-31,2017-05-22,-,NA,-,586,486,486,-,96,71,1,-,>1,3500000
Davis 2018,2016,2017,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,Suspected/Confirmed,CIP,WASH/CHLO,daily,2016-10-06,2017-03-08,2017-01-01,-,Date of onset,860,-,80,-,-,-,-,4,-,0.5,1485231
Hu 2022,2016,2016,"Lanling, China",China,CHN  ,China,,Lanling,WPR,Suspected/Confirmed,TMP-SMX,water pipes renewed,weekly,2016-01-21,2016-05-30,2016-05-20,-,NA,31,31,25,24,-,-,-,-,-,-,-
Yousafzai 2019,2016,2017,"Hyderabad, Pakistan",Pakistan,PAK  ,Pakistan,,Hyderabad,EMR,Confirmed,XDR,CHLO/WASH,weekly,2016-11-30,2017-03-28,2017-03-08,-,NA,101,101,101,101,-,60,57,1,-,-,878418
Hechaichi 2023,2016,2016,"Gabes, Tunisia",Tunisia,TUN  ,Tunisia,,Gabes,EMR,Confirmed/Probable,susceptible,WASH/EDU,daily,2016-06-23,2016-09-02,2016-07-19,-,Date of onset,187,-,74,74,-,74,2,0,16.24,-,628
N'Cho 2019,2017,2018,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,Suspected/Confirmed,CIP,WASH/CHLO/EDU,daily,2017-10-16,2018-02-24,2017-10-30,2018-01-01,Date of onset,3187,-,191,-,-,583,79,0,-,-,1485231
Bano-Zaidi 2018,2017,2018,"Yucatan, Mexico",Mexico,MEX  ,Mexico,,Yucatan,AMR,Confirmed/Probable,"AMP, CHL",-,weekly,2017-07-18,2018-05-25,2017-10-10,2017-10-10,NA,110,-,66,52,44,110,37,3,-,-,-
Makungo 2020,2017,2017,"Makhuduthamaga, South Africa",South Africa,ZAF  ,South Africa,,Makhuduthamaga,AFR,Suspected/Confirmed,susceptible,WASH/CHLO/EDU,daily,2017-11-05,2017-12-24,2017-11-19,2017-12-24,Date of onset,122,65,7,7,-,-,-,0,-,-,274358
Poncin 2022,2018,2019,"Harare, Zimbabwe",Zimbabwe,ZWE  ,Zimbabwe,,Harare,AFR,Confirmed or Suspected,-,TCV,weekly,2018-08-26,2019-02-23,2018-12-16,2019-02-01,Date of onset,1967,-,-,-,-,-,-,1,-,-,-
Nimonkar 2022,2019,2019,"Amritsar, India.",India,IND  ,India,,Amritsar,SEAR,Confirmed,-,-,weekly,2019-03-27,2019-05-14,2019-04-11,2019-05-14,NA,75,75,75,75,-,-,0,0,1.64,-,-
Srinivasan 2022,2019,2019,"Vellore, India",India,IND  ,India,,Vellore,SEAR,Confirmed,CIP,-,monthly,2019-04-01,2019-06-30,2019-05-01,2019-06-30,NA,51,51,51,51,-,14,1,-,0.9,-,-
Wang 2022 (1),2022,2022,"Beijing, China",China,CHN,China,,Beijing,WPR,Confirmed,XDR,WASH/CHLO,daily,2022-01-22,2022-03-05,2022-02-17,2022-02-01,Date of onset & confirmation date,23,1,23,1,-,-,-,-,21.7,-,106
Wang 2022 (2),2022,2022,"Beijing, China",China,CHN,China,,Beijing,WPR,Confirmed,XDR,WASH/CHLO,daily,2022-01-22,2022-03-05,2022-02-17,2022-02-01,Date of onset & confirmation date,23,1,23,1,-,-,-,-,21.7,-,106
