study_id,start_date,end_date,total_cases,suspected_cases,confirmed_cases,probable_cases,date_onset,date_confirmation
Hendriksen 2015,2010-01-01,2010-01-30,17,17,,,F,F
Hendriksen 2015,2010-02-01,2010-02-28,1,1,,,F,F
Hendriksen 2015,2010-03-01,2010-03-30,0,0,,,F,F
Hendriksen 2015,2010-04-01,2010-04-30,20,20,,,F,F
Hendriksen 2015,2010-05-01,2010-05-30,16,16,,,F,F
Hendriksen 2015,2010-06-01,2010-06-30,16,16,,,F,F
Hendriksen 2015,2010-07-01,2010-07-30,4,4,,,F,F
Hendriksen 2015,2010-08-01,2010-08-30,3,3,,,F,F
Hendriksen 2015,2010-09-01,2010-09-30,19,19,,,F,F
Hendriksen 2015,2010-10-01,2010-10-30,8,8,,,F,F
Hendriksen 2015,2010-11-01,2010-11-30,83,83,,,F,F
Hendriksen 2015,2010-12-01,2010-12-30,74,74,,,F,F
Hendriksen 2015,2011-01-01,2011-01-30,104,104,,,F,F
Hendriksen 2015,2011-02-01,2011-02-28,62,62,,,F,F
Hendriksen 2015,2011-03-01,2011-03-30,81,81,,,F,F
Hendriksen 2015,2011-04-01,2011-04-30,101,101,,,F,F
Hendriksen 2015,2011-05-01,2011-05-30,81,81,,,F,F
Hendriksen 2015,2011-06-01,2011-06-30,47,47,,,F,F
Hendriksen 2015,2011-07-01,2011-07-30,49,49,,,F,F
Hendriksen 2015,2011-08-01,2011-08-30,36,36,,,F,F
Hendriksen 2015,2011-09-01,2011-09-30,30,30,,,F,F
Hendriksen 2015,2011-10-01,2011-10-30,70,70,,,F,F
Hendriksen 2015,2011-11-01,2011-11-30,34,34,,,F,F
Hendriksen 2015,2011-12-01,2011-12-30,87,87,,,F,F
Hendriksen 2015,2012-01-01,2012-01-30,190,190,,,F,F
Hendriksen 2015,2012-02-01,2012-02-29,246,246,,,F,F
Hendriksen 2015,2012-03-01,2012-03-30,109,109,,,F,F
Hendriksen 2015,2012-04-01,2012-04-30,134,134,,,F,F
Hendriksen 2015,2012-05-01,2012-05-30,128,128,,,F,F
Hendriksen 2015,2012-06-01,2012-06-30,76,76,,,F,F
Hendriksen 2015,2012-07-01,2012-07-30,43,43,,,F,F
Hendriksen 2015,2012-08-01,2012-08-30,23,23,,,F,F
Hendriksen 2015,2012-09-01,2012-09-30,48,48,,,F,F
Aye 2004,2000-08-10,2000-08-14,0,,,0,T,F
Aye 2004,2000-08-15,2000-08-20,1,,,1,T,F
Aye 2004,2000-08-21,2000-08-25,3,,,3,T,F
Aye 2004,2000-08-25,2000-08-30,2,,,2,T,F
Aye 2004,2000-08-31,2000-09-04,4,,,4,T,F
Aye 2004,2000-09-05,2000-09-09,6,,,6,T,F
Aye 2004,2000-09-10,2000-09-15,10,,,10,T,F
Aye 2004,2000-09-16,2000-09-20,3,,,3,T,F
Aye 2004,2000-09-21,2000-09-25,4,,,4,T,F
Aye 2004,2000-09-26,2000-09-30,0,,,0,T,F
Lewis 2005,2002-05-01,2002-05-01,10,10,,,F,F
Lewis 2005,2002-05-02,2002-05-02,7,7,,,F,F
Lewis 2005,2002-05-03,2002-05-03,12,12,,,F,F
Lewis 2005,2002-05-04,2002-05-04,8,8,,,F,F
Lewis 2005,2002-05-05,2002-05-05,9,9,,,F,F
Lewis 2005,2002-05-06,2002-05-06,9,9,,,F,F
Lewis 2005,2002-05-07,2002-05-07,7,7,,,F,F
Lewis 2005,2002-05-08,2002-05-08,8,8,,,F,F
Lewis 2005,2002-05-09,2002-05-09,14,14,,,F,F
Lewis 2005,2002-05-10,2002-05-10,7,7,,,F,F
Lewis 2005,2002-05-11,2002-05-11,17,17,,,F,F
Lewis 2005,2002-05-12,2002-05-12,10,10,,,F,F
Lewis 2005,2002-05-13,2002-05-13,7,7,,,F,F
Lewis 2005,2002-05-14,2002-05-14,9,9,,,F,F
Lewis 2005,2002-05-15,2002-05-15,7,7,,,F,F
Lewis 2005,2002-05-16,2002-05-16,7,7,,,F,F
Lewis 2005,2002-05-17,2002-05-17,7,7,,,F,F
Lewis 2005,2002-05-18,2002-05-18,12,12,,,F,F
Lewis 2005,2002-05-19,2002-05-19,15,15,,,F,F
Lewis 2005,2002-05-20,2002-05-20,12,12,,,F,F
Lewis 2005,2002-05-21,2002-05-21,22,22,,,F,F
Lewis 2005,2002-05-22,2002-05-22,26,26,,,F,F
Lewis 2005,2002-05-23,2002-05-23,12,12,,,F,F
Lewis 2005,2002-05-24,2002-05-24,50,50,,,F,F
Lewis 2005,2002-05-25,2002-05-25,52,52,,,F,F
Lewis 2005,2002-05-26,2002-05-26,68,68,,,F,F
Lewis 2005,2002-05-27,2002-05-27,97,97,,,F,F
Lewis 2005,2002-05-28,2002-05-28,97,97,,,F,F
Lewis 2005,2002-05-29,2002-05-29,92,92,,,F,F
Lewis 2005,2002-05-30,2002-05-30,72,72,,,F,F
Lewis 2005,2002-05-31,2002-05-31,116,116,,,F,F
Lewis 2005,2002-06-01,2002-06-01,83,83,,,F,F
Lewis 2005,2002-06-02,2002-06-02,234,234,,,F,F
Lewis 2005,2002-06-03,2002-06-03,180,180,,,F,F
Lewis 2005,2002-06-04,2002-06-04,179,179,,,F,F
Lewis 2005,2002-06-05,2002-06-05,143,143,,,F,F
Lewis 2005,2002-06-06,2002-06-06,187,187,,,F,F
Lewis 2005,2002-06-07,2002-06-07,140,140,,,F,F
Lewis 2005,2002-06-08,2002-06-08,121,121,,,F,F
Lewis 2005,2002-06-09,2002-06-09,273,273,,,F,F
Lewis 2005,2002-06-10,2002-06-10,134,134,,,F,F
Lewis 2005,2002-06-11,2002-06-11,190,190,,,F,F
Lewis 2005,2002-06-12,2002-06-12,215,215,,,F,F
Lewis 2005,2002-06-13,2002-06-13,190,190,,,F,F
Lewis 2005,2002-06-14,2002-06-14,165,165,,,F,F
Lewis 2005,2002-06-15,2002-06-15,82,82,,,F,F
Lewis 2005,2002-06-16,2002-06-16,180,180,,,F,F
Lewis 2005,2002-06-17,2002-06-17,155,155,,,F,F
Lewis 2005,2002-06-18,2002-06-18,137,137,,,F,F
Lewis 2005,2002-06-19,2002-06-19,139,139,,,F,F
Lewis 2005,2002-06-20,2002-06-20,100,100,,,F,F
Lewis 2005,2002-06-21,2002-06-21,105,105,,,F,F
Lewis 2005,2002-06-22,2002-06-22,61,61,,,F,F
Lewis 2005,2002-06-23,2002-06-23,102,102,,,F,F
Lewis 2005,2002-06-24,2002-06-24,121,121,,,F,F
Lewis 2005,2002-06-25,2002-06-25,113,113,,,F,F
Lewis 2005,2002-06-26,2002-06-26,121,121,,,F,F
Lewis 2005,2002-06-27,2002-06-27,74,74,,,F,F
Lewis 2005,2002-06-28,2002-06-28,79,79,,,F,F
