study,year,blood_vol_mL,Se_BC,Se_lo,Se_hi
Ling,1948,2.0,0.40,0.23,0.59
Gilman,1975,2.0,0.40,0.28,0.54
Akoh,1991,2.0,0.50,0.28,0.72
Seshadri,1977,3.0,0.29,0.13,0.49
Benavente,1984,3.0,0.42,0.26,0.59
Hoffman,1984,3.0,0.58,0.50,0.66
Vallenas,1985,3.0,0.44,0.29,0.60
Hoffman,1986,3.0,0.44,0.32,0.58
Chaicumpa,1992,3.0,0.55,0.38,0.71
Gasem,1995,3.0,0.66,0.55,0.76
Ling,1940,3.5,0.58,0.41,0.74
Seidenstucker,1949,4.0,0.66,0.49,0.80
Schlack,1966,4.0,0.50,0.40,0.59
Barbagallo,1938,4.5,0.50,0.12,0.88
Guerra-Caceres,1979,5.0,0.46,0.32,0.59
Mehta,1984,5.0,0.54,0.37,0.69
Avendano,1986,5.0,0.70,0.60,0.79
Rajagopal,1986,5.0,0.50,0.32,0.68
Sekarwana,1989,5.0,0.61,0.41,0.78
Dance,1991,5.0,0.82,0.57,0.96
Farooqui,1991,5.0,0.66,0.55,0.76
Baqi-Durrani,1996,5.0,0.40,0.30,0.51
Wain,2008,5.0,0.78,0.67,0.87
Hoffman,1986,8.0,0.63,0.50,0.75
Rubin,1989,8.0,0.53,0.35,0.71
Gasem,2003,9.0,0.82,0.69,0.91
Gasem,1995,10.0,0.67,0.56,0.77
