"who_region","appiah_ref","citation","why_absent_from_koh","index_ppv_audit_status","index_disposition","covidence_id","source_title","authors","publication_year","doi","zotero_pdf","pdf_pages","searchable_characters","record_type","prior_audit_source","summary_row_id","study","location","outbreak_year","summary_suspected","summary_blood_tested","summary_blood_positive","summary_positivity","attack_rate_pct","legacy_attack_rate_pass","current_stage1","audited_suspected_testing_frame","audited_blood_tested","audited_blood_positive","audited_positivity","tested_fraction","denominator_unit","specimen_scope","case_definition_summary","testing_selection_mechanism","temporal_alignment","denominator_compatibility","verification_bias_risk","source_status","simple_model_status","verification_model_status","recommended_use","independence_group","audit_notes"
"African",53,"Galgallo DA, Roka ZG, Boru WG, Abill K, Ransom J, 2018. Investigation of a typhoid fever epidemic in Moyale sub-county, Kenya, 2014-2015. J Health Popul Nutr 37:14.","in Koh window","READ - stool only, zero blood cultures (71/188 stool)","exclude","#199","Investigation of a typhoid fever epidemic in Moyale Sub-County, Kenya, 2014-2015","Galgallo, D. A.; Roka, Z. G.; Boru, W. G.; Abill, K.; Ransom, J.","2018","10.1186/s41043-018-0144-2","C:/Users/jonghoon.kim/Zotero/storage/GJYYBQMR/Galgallo et al. - 2018 - Investigation of a typhoid fever epidemic in Moyal.pdf","5","21148","outbreak investigation","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 53","Galgallo 2018","Moyale Sub-County, Marsabit, Kenya","2014-2015","317","0","0",,,"FALSE","FALSE","317 suspected; 188 (59%) submitted a stool specimen",,,,,"patients","STOOL culture only; no blood culture performed. Widal serology on all 317","Any patient presenting with clinical signs and symptoms consistent with typhoid fever, including headache, fever, stomach pains, diarrhea, or chronic constipation","Self-selection by specimen submission: 188 of 317 'submitted a stool specimen suitable for culture'. No severity, serology or consent criterion stated; the paper does not explain the other 129","No epidemic curve; no figure or table of cases over time","Zero blood cultures, so no blood denominator exists at any level","unassessable","primary paper reviewed (Zotero GJYYBQMR)","not eligible: no blood culture performed","not eligible","exclude","Galgallo 2018","STOOL ONLY. 71/188 'showed growth' - the paper never states the organism was S. Typhi. Authors distrust their own results: 'the overall culture results are suspect because of rampant self-medication with antibiotics'. Would be miscoded if placed in any blood-culture stratum."
"African",86,"Mamo ZD, Addisu A, Marama T, 2018. Typhoid fever outbreak investigation in Ofla Woreda, southern zone of Tigray region, Ethiopia, 2016: an unmatched 1:2 case-control. J Infect Dis Imm 10:27-35.","in Koh window","READ (earlier pass) - no blood culture; Widal only","exclude","","Mamo ZD, Addisu A, Marama T, 2018. Typhoid fever outbreak investigation in Ofla Woreda, southern zone of Tigray region, Ethiopia, 2016: an unmatched 1:2 case-control. J Infect Dis Imm 10:27-35.","Mamo ZD, Addisu A, Marama T","2018","","","","","","","Appiah ref 86","Mamo 2018","Tigray, Ethiopia","2016","98","","","","","FALSE","FALSE","","","","","","patients","","","","","","","review reconciliation record; READ (earlier pass) - no blood culture; Widal only","not eligible; see audit notes","","exclude","Mamo 2018",""
"E Mediterranean",60,"Al-Qarawi S, El Bushra H, Fontaine R, Bubshait S, El Tantawy N, 1995. Typhoid fever from water desalinized using reverse osmosis. Epidemiol Infect 114:41-50.","pre-2000","ABSTRACT RESOLVES IT - '81 bacteriologically confirmed cases were identified'; confirmed-only, no syndromic frame, no tested count. PMID 7867742. (Abstract says 81 confirmed; Appiah Table 1 says 185 cases - unreconciled.) Full text IS open access via Europe PMC if ever needed","exclude: pattern (a), confirmed-only","","Al-Qarawi S, El Bushra H, Fontaine R, Bubshait S, El Tantawy N, 1995. Typhoid fever from water desalinized using reverse osmosis. Epidemiol Infect 114:41-50.","Al-Qarawi S, El Bushra H, Fontaine R, Bubshait S, El Tantawy N","1995","","","","","","appiah2020_unique_outbreak_ppv_audit.csv","Appiah ref 60","Al-Qarawi 1995","Tabuk City, Saudi Arabia","1992","185",,,,"0.1","FALSE","FALSE","not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","indexed abstract screened; ABSTRACT RESOLVES IT - '81 bacteriologically confirmed cases were identified'; confirmed-only, no syndromic frame, no tested count. PMID 7867742. (Abstract says 81 confirmed; Appiah Table 1 says 185 cases - unreconciled.) Full text IS open access via Europe PMC if ever needed","not assessed","not assessed","exclude: pattern (a), confirmed-only","Al-Qarawi 1995","185 cases; typhoid from water desalinated using reverse osmosis. Appiah ref 60."
"E Mediterranean",87,"Al-Zubaidy A, Mawlawi MY, 1995. An outbreak of typhoid fever among children who attended a potluck dinner at Al-Mudhnab, Saudi Arabia. East Afr Med J 72:373-375.","pre-2000","ABSTRACT RESOLVES IT - 19 cases, foodborne case-control on a potluck dinner; no culture denominator and no confirmation method stated. PMID 7498007. Paywalled (East Afr Med J)","exclude: no denominator, n<20","","Al-Zubaidy A, Mawlawi MY, 1995. An outbreak of typhoid fever among children who attended a potluck dinner at Al-Mudhnab, Saudi Arabia. East Afr Med J 72:373-375.","Al-Zubaidy A, Mawlawi MY","1995","","","","","","appiah2020_unique_outbreak_ppv_audit.csv","Appiah ref 87","Al-Zubaidy 1995","Al-Mudhnab, Saudi Arabia","1992","27",,,,,"FALSE","FALSE","not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","indexed abstract screened; ABSTRACT RESOLVES IT - 19 cases, foodborne case-control on a potluck dinner; no culture denominator and no confirmation method stated. PMID 7498007. Paywalled (East Afr Med J)","not assessed","not assessed","exclude: no denominator, n<20","Al-Zubaidy 1995","27 cases at a potluck dinner among children. Appiah ref 87."
"E Mediterranean",51,"Farooqui A, Khan A, Kazmi SU, 2009. Investigation of a community outbreak of typhoid fever associated with drinking water. BMC Public Health 9:476.","in Koh window","READ - stool only; blood culture explicitly declined (22/100 stool)","exclude","#184","Investigation of a community outbreak of typhoid fever associated with drinking water","Farooqui, A.; Khan, A.; Kazmi, S. U.","2009","10.1186/1471-2458-9-476","C:/Users/jonghoon.kim/Zotero/storage/7T9VLV9Y/Farooqui et al. - 2009 - Investigation of a community outbreak of typhoid f.pdf","6","38074","outbreak investigation","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 51","Farooqui 2009","Nek Muhammad village, Karachi, Pakistan","2004","300","0","0",,"60","FALSE","FALSE","250 interviewed of >300 symptomatic; 100 purposively selected for stool",,,,,"patients","STOOL culture only; blood culture explicitly declined","Temperature >38 C since outbreak onset, abdominal discomfort, diarrhea, vomiting and weakness","Explicit purposive quota: '100 patients for stool sample collection who belonged to different age groups and families'. Blood declined because 'majority of patients were not ready to participate in blood sample collection' and because of prior antibiotics","Daily curve of symptom percentages (Fig 1, n=300); percentages not counts","Zero blood cultures; the 22/100 is stool positivity in an age/family quota sample, not a random subset of suspected cases","unassessable","primary paper reviewed (Zotero 7T9VLV9Y)","not eligible: no blood culture performed","not eligible","exclude","Farooqui 2009","STOOL ONLY (22/100). Carries the single most explicit statement of the culture-selection mechanism in the whole review: blood culture was abandoned for CONSENT and PRIOR ANTIBIOTICS, not severity. Quotable evidence for the verification-bias section even though the study itself is unusable."
"European",47,"Mermin JH et al., 1999. A massive epidemic of multidrug-resistant typhoid fever in Tajikistan associated with consumption of municipal water. J Infect Dis 179:1416-1422.","pre-2000","READ - blood OR stool pooled; no tested denominator","exclude","","Mermin JH et al., 1999. A massive epidemic of multidrug-resistant typhoid fever in Tajikistan associated with consumption of municipal water. J Infect Dis 179:1416-1422.","Mermin JH et al.","1999","","","","","","appiah2020_unique_outbreak_ppv_audit.csv","Appiah ref 47","Mermin 1999","Dushanbe, Tajikistan","1996-1997","10677",,,,"1","FALSE","FALSE","10677 reported cases; the frame actually offered culture is never defined",,,,,"patients","blood OR stool, pooled and unseparable","Nonstandardized; the paper states the clinical case definition relies on physician judgment","Not reported. Culture was done at two Dushanbe hospitals while surveillance covered 12 clinics city-wide, so the cultured subset is a non-random hospital slice of unknown size","Weekly epidemic curve available (Fig 2, Oct 1996-Jun 1997)","No tested denominator. The 3294 (31%) confirmations are a fraction of REPORTED CASES, not positivity among tested patients","unassessable","primary paper reviewed (Zotero 32CW4H6M)","not eligible: no tested denominator and specimens pooled across blood and stool","not eligible","exclude","Mermin 1999","Largest outbreak in Appiah 2020 (10,677 cases). Bacteriologic confirmation required S. Typhi from 'a blood or stool sample' and the two specimen types are never separated. Median 6 days onset-to-hospitalisation implies substantial pre-culture antibiotic exposure. Government edict mandated 25-day hospitalisation, so admission does not select on severity here."
"European",89,"Pradier C et al., 2000. Outbreak of typhoid fever on the French Riviera. Eur J Clin Microbiol Infect Dis 19:464-467.","pre-2000","READ - 12/26 blood, hospital-admitted denominator","SENSITIVITY","#460","Outbreak of typhoid fever on the French Riviera","Pradier, C.; Keita-Perse, O.; Bernard, E.; Gisbert, C.; Vezolles, M. J.; Armengaud, A.; Carles, D.; Grimont, F.; Desenclos, J. C.; Dellamonica, P.","2000","10.1007/s100960000300","C:/Users/jonghoon.kim/Zotero/storage/3IMX82CP/Pradier et al. - 2000 - Outbreak of typhoid fever on the French Riviera.pdf","4","19984","outbreak investigation","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 89","Pradier 2000","Utelle, Alpes-Maritimes, France","1997","26","26","12","0.462",,"FALSE","FALSE","26 patients ADMITTED TO HOSPITAL with symptoms suggesting typhoid; 250 symptomatic community members never cultured","26","12","0.462","1","patients","blood AND stool AND Widal; the 12/26 blood-only split is separately reported","No suspected definition; the frame is 26 hospital admissions with symptoms suggesting typhoid after staying in Utelle 14-18 Aug 1997","SEVERITY/ADMISSION GATE. The denominator is hospital admissions only. A far larger symptomatic pool was never cultured: 250 people reported transient diarrhoea within 72h of the exposure and none were tested","Daily epidemic curve available (Fig 1, one block per person)","Blood denominator is INFERRED (12 positive + 2 stool-only + 1 Widal-only + 11 probable with negative blood = 26), not stated verbatim. Frame is admitted patients, not community suspected cases","high","primary paper reviewed (Zotero 3IMX82CP)","eligible on counts (12/26) but the denominator is severity-selected","candidate with explicit severity-selection mechanism","sensitivity only (hospital-admitted denominator)","Pradier 2000","Blood-only 12/26 = 46.2%; the pooled 15/26 (blood+stool+Widal) must NOT be used as a blood numerator. The 250 uncultured symptomatic callers are the community pool, so the true community PPV would be far lower - this is an upper bound. 3 of 26 were admitted outside the Nice catchment, so testing practice was not uniform. Banquet cohort of 350."
"European",90,"Valenciano M, Baron S, Fisch A, Grimont F, Desenclos JC, 2000. Investigation of concurrent outbreaks of gastroenteritis and typhoid fever following a party on a floating restaurant, France, March 1998. Am J Epidemiol 152:934-939.","pre-2000","READ - 14 blood-positive (splittable) but no blood denominator","exclude","#574","Investigation of concurrent outbreaks of gastroenteritis and typhoid fever following a party on a floating restaurant, France, March 1998","Valenciano, M.; Baron, S.; Fisch, A.; Grimont, F.; Desenclos, J. C.","2000","10.1093/aje/152.10.934","C:/Users/jonghoon.kim/Zotero/storage/ED36QT97/Valenciano et al. - 2000 - Investigation of concurrent outbreaks of gastroenteritis and typhoid fever following a party on a fl.pdf","6","35332","outbreak investigation","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 90","Valenciano 2000","Floating restaurant, Paris, France","1998","27",,"14",,"18.4","FALSE","FALSE","27 guests meeting the typhoid syndromic definition, out of a 147-guest retrospective cohort",,"14",,,"patients","blood AND stool, and SEPARABLE: 14 blood-positive, 6 stool-positive, 5 both (union = the 15 'confirmed')","Probable: fever >=38 C for >2 days, no other cause checked by the practitioner, onset >10 days after the supper, AND either a negative stool/blood culture OR no specimen tested. Confirmed: the same fever plus a stool or blood specimen positive for S. typhi","Not reported, and the definition itself concedes incomplete testing: probables include those who 'did not have a specimen tested'. Case-finding was via press release plus telephone interview advising specimen submission - i.e. self-selection. 21 of 27 were hospitalised","Epidemic curve DOES exist (Fig 2, typhoid by 3-day interval, probable vs confirmed; Fig 1, gastroenteritis daily)","Blood numerator is clean (14) but there is NO blood-culture denominator: the count cultured among the 27 is never reported, and the probable definition explicitly includes untested patients","high","primary paper reviewed (Zotero ED36QT97, attached by JK 2026-07-16 and verified). Supersedes JEMF2WZ7 and AW7IPIVI, which BOTH still contain Borgdorff 2001 (M. tuberculosis) via an OUP volume 152/154 same-page collision","not eligible: no blood-culture denominator","not eligible","exclude (denominator absent, not specimen pooling)","Valenciano 2000","CORRECTS MY EARLIER READING: the 15 'confirmed by stool or blood culture' CAN be split - 'S. typhi was isolated in six stool cultures and in 14 blood cultures (five cases with both cultures positive)'; 14+6-5=15. So blood-positive = 14, not an unsplittable pooled 15. Ineligible anyway because the blood-tested count among the 27 is never given. Cohort: 199 identified, 157 (79%) interviewed, 147 (94%) analysed. Gastroenteritis 133 (90.5%); typhoid 27 (18.4%); ALL typhoid cases had preceding gastroenteritis. Strong age gradient: typhoid attack rate 42% (16-19y), 32% (20-29y), 9% (30-39y), 0% (>=40y) - the authors read this as lower population immunity in the young in a low-endemicity country. 21/27 hospitalised, 2 severe (ICU 23d and 38d). Single phage type DVS / ribotype TP7, fully antibiotic-sensitive. NOTE: Koh excluded this study as 'no time-series data available', yet Figs 1 and 2 ARE epidemic curves. A plausible explanation is that the reviewers downloaded the OUP link and received the Borgdorff TB paper, as both prior library copies did."
"European",33,"Aypak A, Celik AK, Aypak C, Cikman O, 2010. Multidrug resistant typhoid fever outbreak in Ercek Village-Van, Eastern Anatolia, Turkey: clinical profile, sensitivity patterns and response to antimicrobials. Trop Doct 40:160-162.","SAME OUTBREAK in Koh via Bayram 2011 (Appiah ref 32) - different publication","READ - 34/154 blood, severity-gated (hospitalised only)","SENSITIVITY","#53","Multidrug resistant typhoid fever outbreak in Ercek Village-Van, Eastern Anatolia, Turkey: clinical profile, sensitivity patterns and response to antimicrobials","Aypak, A.; Celik, A. K.; Aypak, C.; Cikman, O.","2010","10.1258/td.2010.090438","C:/Users/jonghoon.kim/Zotero/storage/JF9DVMSN/Aypak et al. - 2010 - Multidrug resistant typhoid fever outbreak in Erce.pdf","3","17616","outbreak clinical series","covidence_no_timeseries_fulltext_ppv_audit.csv","Appiah ref 33","Aypak 2010","Ercek Village, Van, Eastern Anatolia, Turkey","2008","867",,"34","0.221",,"FALSE","FALSE","867 suspected village residents, but culture appears confined to the 154 (17.8%) hospitalised","154","34","0.221","0.178","patients","blood culture (Bactec 9050) AND stool culture, reported separately; Widal on all 154 inpatients","Stepladder fever, headache, malaise with loss of appetite, usually with gastrointestinal symptoms, plus >=2 of: toxic look, relative bradycardia, rose spots on trunk, splenic enlargement, non-productive cough","SEVERITY-GATED (inferred, never stated). '154 (17.8%) were hospitalized by the treating physician' with no criteria given. All lab work is framed around the 154 inpatients; no lab data of any kind are reported for the 713 non-hospitalised. The paper never states how many of the 154 actually had blood drawn","No epidemic curve; tables only","Blood numerator (34) is recoverable, but the denominator of 154 is INFERRED from percentage arithmetic, not reported. Frame is hospitalised suspects, not all 867","high","primary paper reviewed (Zotero JF9DVMSN); Trop Doct 2010;40:160-162","marginal: usable only as a HOSPITALISED PPV (34/154 = 22.1%)","candidate with explicit severity selection","sensitivity only (severity-gated denominator)","Aypak 2010","RESOLVED the abstract's '42 (27.3%) cultures': it is POOLED blood+stool. Text says '34 (22%) cases were confirmed by blood culture and eight (5.2%) by stool culture'; 34/154=22.1%, 8/154=5.2%, 42/154=27.3% - all resolve against 154, confirming the denominator. DO NOT use 42 as a blood numerator. Population 4,700; implied attack rate 18.4%; no deaths. Paper has several internal contradictions (Table 1 ALT >2xULN 12 < ALT >5xULN 13, impossible; ciprofloxacin n=17 in text vs n=15 in Table 2)."
"Americas",80,"Birkhead GS et al., 1993. Typhoid fever at a resort hotel in New York: a large outbreak with an unusual vehicle. J Infect Dis 167:1228-1232.","pre-2000","BLOCKED - PMID 8486960. J Infect Dis (OUP), subscription DOI only. Abstract shows '43 culture-confirmed and 24 probable cases among guests' - a PROBABLE category exists, so a syndromic frame of ~67 may exist. NEEDS ILL","ILL PRIORITY 2 - probable category may give a denominator","","Birkhead GS et al., 1993. Typhoid fever at a resort hotel in New York: a large outbreak with an unusual vehicle. J Infect Dis 167:1228-1232.","Birkhead GS et al.","1993","","","","","","appiah2020_unique_outbreak_ppv_audit.csv","Appiah ref 80","Birkhead 1993","Resort hotel, New York, USA","1989","68",,,,"7.5","FALSE","FALSE","not assessed",,,,,"patients","not assessed","not assessed","not assessed","not assessed","not assessed","unassessable","full text not available in Zotero; evidence limited to indexed abstract; BLOCKED - PMID 8486960. J Infect Dis (OUP), subscription DOI only. Abstract shows '43 culture-confirmed and 24 probable cases among guests' - a PROBABLE category exists, so a syndromic frame of ~67 may exist. NEEDS ILL","not assessed","not assessed","low priority: high-income foodborne point source","Birkhead 1993","68 cases, resort hotel outbreak. Appiah ref 80."
