"who_region","appiah_ref","citation","location","outbreak_year","cases","why_absent_from_koh","ppv_audit_status","disposition"
"African",53,"Galgallo DA, Roka ZG, Boru WG, Abill K, Ransom J, 2018. Investigation of a typhoid fever epidemic in Moyale sub-county, Kenya, 2014-2015. J Health Popul Nutr 37:14.","Moyale, Kenya","2014-2015",317,"in Koh window","READ - stool only, zero blood cultures (71/188 stool)","exclude"
"African",86,"Mamo ZD, Addisu A, Marama T, 2018. Typhoid fever outbreak investigation in Ofla Woreda, southern zone of Tigray region, Ethiopia, 2016: an unmatched 1:2 case-control. J Infect Dis Imm 10:27-35.","Tigray, Ethiopia","2016",98,"in Koh window","READ (earlier pass) - no blood culture; Widal only","exclude"
"E Mediterranean",60,"Al-Qarawi S, El Bushra H, Fontaine R, Bubshait S, El Tantawy N, 1995. Typhoid fever from water desalinized using reverse osmosis. Epidemiol Infect 114:41-50.","Tabuk City, Saudi Arabia","1992",185,"pre-2000","ABSTRACT RESOLVES IT - '81 bacteriologically confirmed cases were identified'; confirmed-only, no syndromic frame, no tested count. PMID 7867742. (Abstract says 81 confirmed; Appiah Table 1 says 185 cases - unreconciled.) Full text IS open access via Europe PMC if ever needed","exclude: pattern (a), confirmed-only"
"E Mediterranean",87,"Al-Zubaidy A, Mawlawi MY, 1995. An outbreak of typhoid fever among children who attended a potluck dinner at Al-Mudhnab, Saudi Arabia. East Afr Med J 72:373-375.","Al-Mudhnab, Saudi Arabia","1992",27,"pre-2000","ABSTRACT RESOLVES IT - 19 cases, foodborne case-control on a potluck dinner; no culture denominator and no confirmation method stated. PMID 7498007. Paywalled (East Afr Med J)","exclude: no denominator, n<20"
"E Mediterranean",51,"Farooqui A, Khan A, Kazmi SU, 2009. Investigation of a community outbreak of typhoid fever associated with drinking water. BMC Public Health 9:476.","Karachi, Pakistan","2004",300,"in Koh window","READ - stool only; blood culture explicitly declined (22/100 stool)","exclude"
"European",47,"Mermin JH et al., 1999. A massive epidemic of multidrug-resistant typhoid fever in Tajikistan associated with consumption of municipal water. J Infect Dis 179:1416-1422.","Dushanbe, Tajikistan","1996-1997",10677,"pre-2000","READ - blood OR stool pooled; no tested denominator","exclude"
"European",89,"Pradier C et al., 2000. Outbreak of typhoid fever on the French Riviera. Eur J Clin Microbiol Infect Dis 19:464-467.","Utelle, France","1997",26,"pre-2000","READ - 12/26 blood, hospital-admitted denominator","SENSITIVITY"
"European",90,"Valenciano M, Baron S, Fisch A, Grimont F, Desenclos JC, 2000. Investigation of concurrent outbreaks of gastroenteritis and typhoid fever following a party on a floating restaurant, France, March 1998. Am J Epidemiol 152:934-939.","Paris (Seine), France","1998",27,"pre-2000","READ - 14 blood-positive (splittable) but no blood denominator","exclude"
"European",33,"Aypak A, Celik AK, Aypak C, Cikman O, 2010. Multidrug resistant typhoid fever outbreak in Ercek Village-Van, Eastern Anatolia, Turkey: clinical profile, sensitivity patterns and response to antimicrobials. Trop Doct 40:160-162.","Ercek Village, Van, Turkey","2008",867,"SAME OUTBREAK in Koh via Bayram 2011 (Appiah ref 32) - different publication","READ - 34/154 blood, severity-gated (hospitalised only)","SENSITIVITY"
"Americas",80,"Birkhead GS et al., 1993. Typhoid fever at a resort hotel in New York: a large outbreak with an unusual vehicle. J Infect Dis 167:1228-1232.","New York (resort hotel), USA","1989",68,"pre-2000","BLOCKED - PMID 8486960. J Infect Dis (OUP), subscription DOI only. Abstract shows '43 culture-confirmed and 24 probable cases among guests' - a PROBABLE category exists, so a syndromic frame of ~67 may exist. NEEDS ILL","ILL PRIORITY 2 - probable category may give a denominator"
"Americas",66,"Katz DJ, Cruz MA, Trepka MJ, Suarez JA, Fiorella PD, Hammond RM, 2002. An outbreak of typhoid fever in Florida associated with an imported frozen fruit. J Infect Dis 186:234-239.","Florida, USA","1998-1999",17,"pre-2000 outbreak","READ (earlier pass) - 16 tested / 15 positive; n<20","exclude"
"Americas",45,"Yoon J, Segal-Maurer S, Rahal JJ, 2004. An outbreak of domestically acquired typhoid fever in Queens, NY. Arch Intern Med 164:565-567.","Queens, New York, USA","2000",7,"in Koh window","READ - cases DEFINED by blood-culture positivity (pattern a)","exclude"
"Americas",56,"Reller ME et al., 2003. Sexual transmission of typhoid fever: a multistate outbreak among men who have sex with men. Clin Infect Dis 37:141-144.","Ohio / Kentucky / Indiana, USA","2000",9,"in Koh window","READ - symptom-only probable definition exists, but blood_tested never reported","exclude"
"Americas",67,"Loharikar A et al., 2012. Typhoid fever outbreak associated with frozen mamey pulp imported from Guatemala to the Western United States, 2010. Clin Infect Dis 55:61-66.","Nevada, USA","2010",12,"in Koh window","READ (Zotero X55ZAMP5). Pattern (a), and a STRICTER instance: cases are the PFGE-MATCHED SUBSET of culture-positives - 'a person whose specimen yielded Salmonella serotype Typhi MATCHING THE OUTBREAK STRAIN'. Specimen type is never named ('specimen'), so the 12 cases cannot even be attributed to blood. No probable/suspected tier of any kind. Screening was of 37 ASYMPTOMATIC plant workers by stool+serum; household contacts by stool. Zero blood screening of symptomatic patients.","exclude: pattern (a) + PFGE-match subset; specimen not blood-specific"
"Americas",92,"Hancock-Allen J, Cronquist AB, Peden J, Adamson D, Corral N, Brown K, 2016. Notes from the field: typhoid fever outbreak associated with an asymptomatic carrier at a restaurant - Weld county, Colorado, 2015. MMWR 65:606-607.","Weld County, Colorado, USA","2015",3,"in Koh window","READ - cases require isolation PLUS PFGE match; blood never mentioned","exclude"
"SE Asia",44,"Arora R, Gupta A, Joshi N, Kataria V, Lall P, Anand A, 1992. Multidrug resistant typhoid fever: study of an outbreak in Calcutta. Indian Pediatr 29:61-66.","Calcutta, India","1989-1990",117,"pre-2000","BLOCKED - PMID 1601498. Not open access (Europe PMC: no OA, no PMC id). Indian Pediatrics archive returns HTTP 403; 1992 issues appear not to be digitised. NEEDS INSTITUTIONAL ACCESS / ILL. Abstract shows PAIRED blood + bone marrow (BC 83.7%, BM 100%, Widal 13.5% of 103 admitted)","ILL PRIORITY 1 - possible 11th paired BC/BM study"
"SE Asia",93,"Ramanan A, Pandit N, Yeshwanth M, 1992. Unusual complications in a multidrug resistant Salmonella typhi outbreak. Indian Pediatr 29:118-120.","Bangalore, India","1990",15,"pre-2000","BLOCKED - PMID 1601484. Indian Pediatrics, no OA; ABSTRACT IS EMPTY in PubMed, so nothing can be resolved without the full text. n=15 fails n>=20 regardless","low priority: n<20"
"SE Asia",64,"Kulkarni A, Powar R, Mangalkar S, Kulkarni V, Nagalgaonkar R, 1996. Epidemiological investigation of an outbreak of enteric fever in a village in Maharashtra. J Commun Dis 28:117-121.","Katkalamba, Nanded, Maharashtra, India","1995",415,"pre-2000","BLOCKED - PMID 8810147. J Commun Dis, no OA. Abstract: 'Laboratory investigations in SELECTED CASES confirmed it to be an outbreak of enteric fever' - explicit selective testing, no counts. NEEDS ILL","ILL PRIORITY 3"
"SE Asia",42,"Swaddiwudhipong W, Kanlayanaphotporn J, 2001. A common-source water-borne outbreak of multidrug-resistant typhoid fever in a rural Thai community. J Med Assoc Thai 84:1513-1517.","Poppra District, Tak, Thailand (Thai-Myanmar border)","1999",11,"pre-2000","READ - 5/10 blood, 90.9% tested fraction, LOW bias","SENSITIVITY (fails n>=20)"
"SE Asia",94,"Anand PK, Ramakrishnan R, 2010. Investigation of the outbreak of typhoid in a village of Thar desert Rajasthan, India. Indian J Med Res 131:799-803.","Varkana, Pali district, Rajasthan, India","2007",219,"in Koh window","BLOCKED - PMID 20571169. Indian J Med Res, no OA per Europe PMC. Abstract shows WIDAL ONLY: 'Forty three serum samples were reported positive for Widal agglutination test out of 70 tested' - no blood culture mentioned. Likely ineligible","ILL PRIORITY 4 - likely Widal-only"
"SE Asia",62,"Bhunia R, Hutin Y, Ramakrishnan R, Pal N, Sen T, Murhekar M, 2009. A typhoid fever outbreak in a slum of South Dumdum municipality, West Bengal, India, 2007. BMC Public Health 9:115.","South Dumdum, West Bengal, India","2007",103,"in Koh window","READ (earlier pass) - only 4 tested; n<20","exclude"
"SE Asia",46,"Singla N, Bansal N, Gupta V, Chander J, 2013. Outbreak of Salmonella Typhi enteric fever in sub-urban area of north India: a public health perspective. Asian Pac J Trop Med 6:167-168.","Chandigarh (Ram Darbar), India","2009-2010",27,"in Koh window","READ (earlier pass) - no blood-culture denominator","exclude"
"SE Asia",54,"Purighalla S et al., 2017. Investigation into a community outbreak of Salmonella Typhi in Bengaluru, India. Indian J Med Res 146(Suppl):S15-S22.","Bengaluru (HSR Layout), India","2015-2016",24,"in Koh window","READ - confirmed-case series; no denominator","exclude"
"W Pacific",48,"Goh K, Teo S, Tay L, Monteiro E, 1992. Epidemiology and control of an outbreak of typhoid in a psychiatric institution. Epidemiol Infect 108:221-230.","Psychiatric institution, Singapore","1990",95,"pre-2000","ABSTRACT RESOLVES IT - '95 (4.8%) of the 1965 inmates were infected, 47 with symptoms and 48 asymptomatic'; ascertained by RECTAL SWABBING, not blood; cases defined by infection status. PMID 1582465. Full text IS open access via Europe PMC","exclude: infection-defined, wrong specimen"
"W Pacific",96,"Olsen SJ et al., 2001. Restaurant-associated outbreak of Salmonella typhi in Nauru: an epidemiological and cost analysis. Epidemiol Infect 127:405-412.","Republic of Nauru","1998-1999",50,"pre-2000","READ - 19 tested ANY specimen (all positive); only 9 blood","exclude"
"W Pacific",43,"Yang HH et al., 2001. An outbreak of typhoid fever, Xing-An County, People's Republic of China, 1999: estimation of the field effectiveness of Vi polysaccharide typhoid vaccine. J Infect Dis 183:1775-1780.","Xing-An County Middle School, Guangxi, China","1999",24,"pre-2000","READ - 2 blood-positive, no denominator ('done whenever possible'); 22/24 on Widal","exclude"
"W Pacific",58,"Anita S, Amir KM, Fadzilah K, Ahamad J, Noorhaida U, Marina K, Paid MY, Hanif Z, 2012. Risk factors for typhoid outbreak in Sungai Congkak recreational park, Selangor 2009. Med J Malaysia 67:12-16.","Sungai Congkak, Selangor, Malaysia","2009",45,"in Koh window","READ - case definition REQUIRES isolation; pi=1 by construction","exclude"
"W Pacific",65,"Yan M, Li X, Liao Q, Li F, Zhang J, Kan B, 2016. The emergence and outbreak of multidrug-resistant typhoid fever in China. Emerg Microbes Infect 5:e62.","Shache county, Xinjiang, China","2010",253,"in Koh window","READ - blood OR stool pooled (55); no denominator. Epi data in Chinese ref (Dang 2011)","exclude"
"W Pacific",40,"Kobayashi T et al., 2016. Case report: an outbreak of food-borne typhoid fever due to Salmonella enterica serotype Typhi in Japan reported for the first time in 16 years. Am J Trop Med Hyg 94:289-291.","Tokyo, Japan","2014",7,"in Koh window","READ - cases DEFINED by blood-culture positivity (pattern a)","exclude"
