"summary_row_id","study","location","outbreak_year","summary_suspected","summary_blood_tested","summary_blood_positive","summary_positivity","attack_rate_pct","legacy_attack_rate_pass","current_stage1","audited_suspected_testing_frame","audited_blood_tested","audited_blood_positive","audited_positivity","tested_fraction","denominator_unit","specimen_scope","case_definition_summary","testing_selection_mechanism","temporal_alignment","denominator_compatibility","verification_bias_risk","source_status","simple_model_status","verification_model_status","recommended_use","independence_group","audit_notes"
"A1","Mermin 1999","Dushanbe, Tajikistan","1996-1997",10677,,,,1,FALSE,FALSE,"10677 reported cases; the frame actually offered culture is never defined",,,,,"patients","blood OR stool, pooled and unseparable","Nonstandardized; the paper states the clinical case definition relies on physician judgment","Not reported. Culture was done at two Dushanbe hospitals while surveillance covered 12 clinics city-wide, so the cultured subset is a non-random hospital slice of unknown size","Weekly epidemic curve available (Fig 2, Oct 1996-Jun 1997)","No tested denominator. The 3294 (31%) confirmations are a fraction of REPORTED CASES, not positivity among tested patients","unassessable","primary paper reviewed (Zotero 32CW4H6M)","not eligible: no tested denominator and specimens pooled across blood and stool","not eligible","exclude","Mermin 1999","Largest outbreak in Appiah 2020 (10,677 cases). Bacteriologic confirmation required S. Typhi from 'a blood or stool sample' and the two specimen types are never separated. Median 6 days onset-to-hospitalisation implies substantial pre-culture antibiotic exposure. Government edict mandated 25-day hospitalisation, so admission does not select on severity here."
"A2","Galgallo 2018","Moyale Sub-County, Marsabit, Kenya","2014-2015",317,0,0,,,FALSE,FALSE,"317 suspected; 188 (59%) submitted a stool specimen",,,,,"patients","STOOL culture only; no blood culture performed. Widal serology on all 317","Any patient presenting with clinical signs and symptoms consistent with typhoid fever, including headache, fever, stomach pains, diarrhea, or chronic constipation","Self-selection by specimen submission: 188 of 317 'submitted a stool specimen suitable for culture'. No severity, serology or consent criterion stated; the paper does not explain the other 129","No epidemic curve; no figure or table of cases over time","Zero blood cultures, so no blood denominator exists at any level","unassessable","primary paper reviewed (Zotero GJYYBQMR)","not eligible: no blood culture performed","not eligible","exclude","Galgallo 2018","STOOL ONLY. 71/188 'showed growth' - the paper never states the organism was S. Typhi. Authors distrust their own results: 'the overall culture results are suspect because of rampant self-medication with antibiotics'. Would be miscoded if placed in any blood-culture stratum."
"A3","Farooqui 2009","Nek Muhammad village, Karachi, Pakistan","2004",300,0,0,,60,FALSE,FALSE,"250 interviewed of >300 symptomatic; 100 purposively selected for stool",,,,,"patients","STOOL culture only; blood culture explicitly declined","Temperature >38 C since outbreak onset, abdominal discomfort, diarrhea, vomiting and weakness","Explicit purposive quota: '100 patients for stool sample collection who belonged to different age groups and families'. Blood declined because 'majority of patients were not ready to participate in blood sample collection' and because of prior antibiotics","Daily curve of symptom percentages (Fig 1, n=300); percentages not counts","Zero blood cultures; the 22/100 is stool positivity in an age/family quota sample, not a random subset of suspected cases","unassessable","primary paper reviewed (Zotero 7T9VLV9Y)","not eligible: no blood culture performed","not eligible","exclude","Farooqui 2009","STOOL ONLY (22/100). Carries the single most explicit statement of the culture-selection mechanism in the whole review: blood culture was abandoned for CONSENT and PRIOR ANTIBIOTICS, not severity. Quotable evidence for the verification-bias section even though the study itself is unusable."
"A4","Yan 2016","Shache county, Xinjiang, China","2010",253,,,,,FALSE,FALSE,"253 reported cases (55 laboratory-confirmed, 198 clinically diagnosed); culture frame not stated",,,,,"patients","blood OR stool, pooled and unseparable","Persistent fever >=38 C for >3 days with headache, hypoeosinophilia OR a positive Widal test, without other diagnosed cause","Effectively not reported: 'blood and stool samples were collected for the suspected cases' with no counts and no selection rule","No epidemic curve in this paper; narrative timing only","No tested denominator; 55 isolates are blood-or-stool with no breakdown","unassessable","primary paper reviewed (Zotero GQ2VZCBZ)","not eligible: no tested denominator and specimens pooled","not eligible","source reconstruction needed","Yan 2016","This is a MOLECULAR paper, not the primary outbreak report. Epi denominators and any epidemic curve are in the Chinese-language reference (Dang J et al., Occup and Health 2011;27:1288-1289), which would need retrieval and translation. The case definition itself admits Widal-positive patients as 'clinically diagnosed'. Vi vaccine was used as a control measure with no coverage reported."
"A5","Yang 2001","Xing-An County Middle School, Guangxi, China","1999",24,,2,,,FALSE,FALSE,"24 met a composite case definition; the number offered blood culture is never stated",,"2",,,"patients","BLOOD culture only (clean scope) plus Widal serology","S. Typhi by blood culture OR (temp >=38.5 C with fever >=24h) AND >=1 of fatigue/headache/malaise/anorexia/abdominal pain/constipation AND a positive Widal titre","Explicit capacity gate: 'patients routinely had blood specimens taken at the time of admission for diagnosis of typhoid fever by use of the Widal test, and BLOOD CULTURES WERE DONE WHENEVER POSSIBLE'. Widal was routine; culture was opportunistic","Weekly epidemic curve available (Fig 1, 8 weeks)","Blood-specific numerator (2) exists but has no denominator - the count offered culture is never given","high","primary paper reviewed (Zotero KX4KNIIV)","not eligible: no blood-culture denominator","not eligible","exclude","Yang 2001","One of Appiah's eight blood-culture-alone papers, but unusable: only 2/24 cases are culture-confirmed and 22/24 rest on Widal. 'Blood cultures were done whenever possible' is the second explicit statement that the culture gate is CAPACITY, not severity. School Vi campaign: 1701/2111 (81%) vaccinated; VE 71% (95% CI 34-87)."
"A6","Olsen 2001","Republic of Nauru","1998-1999",50,19,9,,0.5,FALSE,FALSE,"50 met the clinical case definition; 19 had ANY specimen tested, 31 had none",,"9",,0.38,"patients","blood, stool and urine pooled in the confirmed definition; blood-specific positives reported separately (9 of 19)","Fever for >=3 days since 1 Oct 1998 plus >=1 of chills, sweats, headache, anorexia, malaise, weakness, diarrhoea, constipation, abdominal pain, cough, vomiting, in a resident of Nauru","Not reported as a clinical rule. Case-finding was retrospective and lab-record-driven: entry was via a positive culture OR a Widal screening record OR Typhoid-Committee recall, so the tested group is by construction the group that reached laboratory attention","Monthly epidemic curve available (Fig 1, 7 bars, confirmed vs clinical)","The 19 is ANY-specimen tested, not blood; a blood-tested denominator is absent. Only 9 of 50 clinical cases would have been blood-confirmed","high","primary paper reviewed (Zotero L4NVG5MI)","not eligible: tested denominator is any-specimen, not blood","not eligible","exclude","Olsen 2001","ALL 19 TESTED WERE POSITIVE (100% positivity, no test-negatives reported). That is diagnostic of non-systematic ascertainment: a systematically cultured suspect series would produce negatives. This is the clearest empirical illustration of the proposed exclusion rule (positivity >= Se_BC is unattainable for any admissible pi). No vaccination occurred; Vi appears only in a hypothetical cost model."
"A7","Anita 2012","Sungai Congkak Recreational Park, Selangor, Malaysia","2009",45,,4,,,FALSE,FALSE,"No syndromic denominator exists; 45 clinic-record suspects sit outside the case definition",,"4",,,"patients","blood OR urine OR stool pooled in the case definition; active screening used stool only","A person with or without clinical features, WITH ISOLATION of S. typhi in blood or urine or stool, who had visited the park on 27 Jan 2009","Passive, clinician-initiated and confirmation-gated. The case definition requires isolation, so untested suspects can never become cases. The 4 index cases were blood-cultured as paediatric inpatients, i.e. admission was the de facto blood-culture gate; the retrospective arm cultured stool only, weeks after onset","Daily epidemic curve available (Fig 1)","pi = 1 by construction: cases are defined by culture positivity, so no independent denominator exists","high","primary paper reviewed (Zotero UXDNSEK9)","not eligible: confirmed-case series with no syndromic denominator","not eligible","exclude","Anita 2012","Cleanest example of the confirmed-case-series pattern. The 12 cases are pooled blood/urine/stool and never disaggregated; only the 4 index paediatric cases are known blood-culture. Paper has numerous internal inconsistencies (68 vs 75 controls; 14 vs 39 suspects; OR 13 vs 14 vs 14.44). Typhoid vaccination of food handlers recommended post-outbreak with no numbers."
"A8","Purighalla 2017","Bengaluru (HSR Layout), Karnataka, India","2015-2016",24,,24,,,FALSE,FALSE,"None - isolates were collected consecutively from the laboratory",,"24",,,"patients","BLOOD culture only (20 mL, BD Phoenix)","None. Cases are defined by isolate recovery: 24 S. Typhi isolates collected consecutively from blood cultures","Not reported. Clinician-ordered culture at a private tertiary hospital; the paper never states who was cultured or how many","No figure, but per-isolate dates of isolation are tabulated, so a confirmed-case series is reconstructable","No denominator of any kind: this is a lab isolate series, not a case series","unassessable","primary paper reviewed (Zotero TKZHANV6)","not eligible: confirmed-case series with no denominator","not eligible","exclude","Purighalla 2017","Molecular typing (ERIC-PCR) paper, not an epidemiological investigation: no case definition, no line list, no case-finding. Table has internal date errors contradicting the stated Dec 2015-Mar 2016 window (entries dated 2015 and Oct 2016)."
"A9","Swaddiwudhipong 2001","Rural village, Poppra District, Tak Province, Thailand (Thai-Myanmar border)","1999",11,10,5,0.5,,FALSE,FALSE,"11 suspected cases identified by active village surveillance, defined independently of culture result",10,"5",0.5,0.909,"patients","BLOOD (hemoculture) only for cases; stool used solely to screen contacts","Fever for >=3 days plus >=3 of abdominal pain, diarrhoea/constipation, nausea/vomiting, malaise/headache, rose spots, splenomegaly, with no other pathogen identified such as malaria","Near-complete testing of the syndromic frame: hemoculture performed in 10 of 11 suspected cases. Active village surveillance, not severity- or admission-gated. The basis for the single untested case is not reported","No epidemic curve; onset range only (31 Oct - 11 Nov 1999)","COMPATIBLE: an explicit syndromic denominator defined independently of culture, with a blood-only numerator and denominator","low","primary paper reviewed (Zotero KB9PGSJH)","not eligible under the current n>=20 rule (n=10), but methodologically the cleanest new candidate found","candidate: the only new study whose tested group plausibly represents its suspected frame","sensitivity only (fails n>=20)","Swaddiwudhipong 2001","THE CLEANEST NEW CANDIDATE. Blood-only PPV 5/10 = 50.0%, stated verbatim by the authors, with a 90.9% tested fraction and an active-surveillance denominator - the only one of eleven that approaches the target estimand. Fails only on size. Village population 749; 1 death (CFR 9.1%). Note positivity 0.50 approaches Se_BC (~0.62), implying pi near 0.8, consistent with an exposure-linked point-source frame rather than community surveillance."
"A10","Pradier 2000","Utelle, Alpes-Maritimes, France","1997",26,26,12,0.462,,FALSE,FALSE,"26 patients ADMITTED TO HOSPITAL with symptoms suggesting typhoid; 250 symptomatic community members never cultured",26,"12",0.462,1,"patients","blood AND stool AND Widal; the 12/26 blood-only split is separately reported","No suspected definition; the frame is 26 hospital admissions with symptoms suggesting typhoid after staying in Utelle 14-18 Aug 1997","SEVERITY/ADMISSION GATE. The denominator is hospital admissions only. A far larger symptomatic pool was never cultured: 250 people reported transient diarrhoea within 72h of the exposure and none were tested","Daily epidemic curve available (Fig 1, one block per person)","Blood denominator is INFERRED (12 positive + 2 stool-only + 1 Widal-only + 11 probable with negative blood = 26), not stated verbatim. Frame is admitted patients, not community suspected cases","high","primary paper reviewed (Zotero 3IMX82CP)","eligible on counts (12/26) but the denominator is severity-selected","candidate with explicit severity-selection mechanism","sensitivity only (hospital-admitted denominator)","Pradier 2000","Blood-only 12/26 = 46.2%; the pooled 15/26 (blood+stool+Widal) must NOT be used as a blood numerator. The 250 uncultured symptomatic callers are the community pool, so the true community PPV would be far lower - this is an upper bound. 3 of 26 were admitted outside the Nice catchment, so testing practice was not uniform. Banquet cohort of 350."
