"summary_row_id","study","location","outbreak_year","summary_suspected","summary_blood_tested","summary_blood_positive","summary_positivity","attack_rate_pct","legacy_attack_rate_pass","current_stage1","audited_suspected_testing_frame","audited_blood_tested","audited_blood_positive","audited_positivity","tested_fraction","denominator_unit","specimen_scope","case_definition_summary","testing_selection_mechanism","temporal_alignment","denominator_compatibility","verification_bias_risk","source_status","simple_model_status","verification_model_status","recommended_use","independence_group","audit_notes"
"1","Aye 2004","Madaya, Myanmar","2000","49","22","3","0.136","2.9","TRUE","TRUE","49","22","3","0.136","0.449","patients","blood culture","Fever >=7 days plus at least one abdominal or gastrointestinal symptom","Culture was performed in a subset already selected using Diazo or Widal results","Outbreak subset; exact culture dates not reported in audit source","Compatible tested denominator but not representative of all suspected cases","high","primary paper previously extracted; counts retained","not eligible without selection adjustment","candidate with explicit high-risk selection mechanism","verification-adjusted candidate","Aye 2004","The 22 cultured patients were not a random subset of the 49 suspected cases."
"2","Michel 2005","Abidjan, Cote d'Ivoire","2001","10","6","5","0.833","","FALSE","FALSE","24","6","5","0.833","0.250","patients","blood culture; additional serologic confirmation","Fever >=38.5 C plus at least one chill, headache, gastrointestinal, or neurologic symptom","Six of 24 clinical cases were cultured; reason for culture selection not reported","Outbreak window appears aligned","Blood denominator is valid but very small; summary suspected count should be 24 rather than 10","high","existing primary-paper extraction; denominator correction from summary notes","not eligible: selected subset and n<20","sensitivity only if a small-study analysis is desired","sensitivity only","Michel 2005","Five of six cultured patients were positive; nine additional cases were confirmed by seroconversion."
"3","Lewis 2005","Bharatpur, Nepal","2002","5963","104","39","0.375","6.49","TRUE","FALSE","5963","104","39","0.375","0.017","patients","blood culture","Fever recorded by the admitting physician as known or clinically suspected typhoid; no reproducible symptom rule","Culture obtained from a small hospital-selected subset; selection mechanism not quantified","Hospital-register outbreak period; subset timing unclear","Numeric denominator is usable but the clinical entry rule and tested-subset representativeness are weak","high","existing project extraction; primary-paper recheck recommended","not eligible for community simple model","candidate only for hospital-ascertainment or verification sensitivity","sensitivity only","Lewis 2005","This is a hospital physician-suspicion series rather than a comparable community syndromic definition."
"4","Muyembe-Tamfum 2009","Kinshasa, DRC","2004","144","16","11","0.688","","FALSE","FALSE","144","16","11","0.688","0.111","patients","blood culture","Hospital admission with peritonitis; confirmed by culture","Culture among a severe surgical or peritonitis case series","Outbreak period aligned but observation process is severity restricted","Valid within the peritonitis cohort; incompatible with PPV among general suspected fever cases","critical","summary and case-definition extraction; primary-paper recheck recommended","not eligible: different estimand","not applicable to general suspected-case verification model","exclude","Muyembe-Tamfum 2009","Estimates PPV in a severe peritonitis population, not in the surveillance case definition used for general outbreak incidence."
"5","Holt 2011","Mekong River Delta, Vietnam","2004-2005","","358","287","0.802","","FALSE","FALSE","460","","288","","","unclear; treatment-trial participants and isolates","blood or bone-marrow culture in source trial","Clinically suspected or culture-confirmed uncomplicated typhoid eligible for a treatment trial","Treatment-trial enrolment strongly enriched for typhoid; the 358 denominator is not established as all cultured suspected cases","Trial period related to outbreak data; exact correspondence requires reconstruction","Summary tested denominator appears to be a laboratory or isolate subset, not a PPV denominator","critical","secondary report plus summary notes citing Dolecek trial; primary trial reconstruction needed","not eligible: denominator meaning unresolved","possible only after reconstructing the source trial flow","source reconstruction needed","Holt-Dolecek trial","The source trial reports 460 clinically suspected or confirmed enrollees and 288 confirmed; do not use 287/358 as PPV data without reconstructing testing flow."
"6","Neil 2012","Kasese, Uganda","2007-2009","577","63","25","0.397","8.09","TRUE","TRUE","577","54","19","0.352","0.094","blood cultures; patient uniqueness not fully explicit","blood culture only for audited pair; stool and unlabeled cultures excluded","Fever plus abdominal pain and at least one gastrointestinal or systemic symptom, antimalarial nonresponse, or intestinal perforation","Culture was collected from a small clinically and temporally selected subset; early ascertainment was perforation skewed","Cultures concentrated in March-April 2009 within a longer December 2007-July 2009 outbreak","Corrected blood-specific denominator is valid for the cultured subset but not representative of all 577 suspected cases","high","primary paper verified","not eligible without selection adjustment","candidate with major verification and time-varying ascertainment cautions","verification-adjusted candidate","Neil 2012","Use 19/54 blood cultures. The obsolete 25/63 combined 19/54 blood with 6/9 unlabeled cultures."
"7","Scobie 2014","Fiji","2008-2011","1765","1449","1449","1.000","","FALSE","FALSE","1765","","1449","","","confirmed patients or isolates, not tested denominator","blood, stool, or urine culture combined in case definition","Age >=2 years, fever >=3 days, and at least one gastrointestinal symptom","Laboratory-confirmed surveillance series; summary field records confirmed specimen source rather than number tested","Multi-year surveillance; exact testing frame unavailable","The 1449 value is not a blood-culture-tested denominator","not evaluable","summary notes; primary source reconstruction needed","not eligible: tested denominator misclassified","not applicable until an actual tested denominator is recovered","exclude pending source reconstruction","Scobie 2014","There were 1582 confirmed cases and specimen-source data for 1560; 1449 appears to count blood-confirmed cases, not people tested."
"8","Lutterloh 2012","Malawi-Mozambique border","2009","303","108","44","0.407","","FALSE","FALSE","303","108","44","0.407","0.356","unique persons; 112 cultures from 108 persons","blood culture; stool and TUBEX also used for case classification","Fever plus at least one gastrointestinal, musculoskeletal, neurologic, or systemic feature with no alternative explanation","Laboratory capacity was established during the investigation; cultured patients were not a prespecified random sample","Culture collection occurred after laboratory-enhanced investigation began; case definitions changed after etiologic confirmation","Blood result is valid at the person level, but representativeness and stable case ascertainment are uncertain","high","primary paper verified in current audit","not eligible without selection and time-varying ascertainment adjustment","candidate with major caution","sensitivity only","Lutterloh 2012","Primary report states 112 blood cultures from 108 persons, with 44 persons positive; 303 total cases comprised 214 suspected, 43 probable, and 46 confirmed."
"9","Limpitikul 2014 (1)","Songkhla, Thailand","2009","","137","137","1.000","","FALSE","FALSE","","","137","","","confirmed patients","blood culture-confirmed case series","Resident of outbreak area with febrile illness and no other identified cause","Only confirmed pediatric cases were assembled","Period-specific confirmed series","The summary tested field is the number confirmed, not a tested denominator","critical","existing primary-paper extraction","not eligible: confirmed-only series","not applicable","exclude","Limpitikul 2014","Period 1 component; not independent of the total row."
"10","Limpitikul 2014 (2)","Songkhla, Thailand","2010-2011","","231","231","1.000","","FALSE","FALSE","","","231","","","confirmed patients","blood culture-confirmed case series","Resident of outbreak area with febrile illness and no other identified cause","Only confirmed pediatric cases were assembled","Period-specific confirmed series","The summary tested field is the number confirmed, not a tested denominator","critical","existing primary-paper extraction","not eligible: confirmed-only series","not applicable","exclude","Limpitikul 2014","Period 2 component; not independent of the total row."
"11","Limpitikul 2014 (total)","Songkhla, Thailand","2009-2011","","368","368","1.000","","FALSE","FALSE","","","368","","","confirmed patients","blood culture-confirmed case series","Resident of outbreak area with febrile illness and no other identified cause","Only confirmed pediatric cases were assembled","Aggregate of period 1 and period 2","The summary tested field is the number confirmed, not a tested denominator","critical","existing primary-paper extraction","not eligible: confirmed-only series","not applicable","exclude","Limpitikul 2014","Aggregate duplicate of rows 9 and 10; never include alongside its component rows."
"12","Walters 2014 (1), Kasese","Kasese, Uganda","2009-2011","709","74","7","0.095","","FALSE","FALSE","149","74","7","0.095","0.497","patients or blood cultures during prospective surveillance","blood culture only for audited pair; stool cultures excluded","Intestinal perforation or fever plus abdominal pain and at least one gastrointestinal or systemic symptom","Blood cultures were collected during laboratory-enhanced prospective case finding; retrospective Kasese ascertainment captured almost only perforations","Culture pair corresponds to the late prospective period, not the full 709-case series","Valid for the 149 prospective cases only; incompatible with the full Kasese time series without phase-specific handling","critical","primary paper verified in current audit","not eligible for full-outbreak simple model","possible phase-specific verification analysis but different severity mix","exclude from general PPV; phase-specific sensitivity only","Walters 2014 Kasese","Use 149, not 709, as the provisional testing frame for the prospective period; retrospective data are severely perforation biased."
"13","Walters 2014 (2), Bundibugyo","Bundibugyo, Uganda","2011","333","72","15","0.208","","FALSE","FALSE","128","72","15","0.208","0.563","patients or blood cultures during prospective surveillance","blood culture only for audited pair; stool cultures excluded","Intestinal perforation or fever plus abdominal pain and at least one gastrointestinal or systemic symptom","Blood cultures were collected during laboratory-enhanced prospective case finding rather than uniformly throughout the year","Culture pair corresponds to 128 prospectively identified cases within the 333-case annual series","Valid for the prospective frame; not directly representative of all 333 cases","high","primary paper verified in current audit","not eligible for full-outbreak simple model","candidate for phase-specific verification adjustment","sensitivity only","Walters 2014 Bundibugyo","The prospective frame is less severity biased than Kasese, but cultures and suspected counts must be aligned to the same phase."
"14","Ali 2017","Kikwit, DRC","2011","1430","66","56","0.848","0.6","TRUE","FALSE","1430","16","6","0.375","0.011","blood samples","blood culture; later samples and reports mixed blood and stool","Fever >=38 C for >3 days plus digestive symptoms and a negative malaria test","Sixteen initial blood samples were cultured; later confirmation used mixed specimen types and clinical diagnosis because of limited laboratory access","Culture occurred at outbreak confirmation; later case ascertainment became clinical","The summary 56/66 is not a valid blood-specific pair; 6/16 is the recoverable blood pair but is highly selected and temporally restricted","critical","summary notes and existing case-definition extraction; primary-paper recheck recommended","not eligible for simple model","possible outbreak-confirmation sensitivity analysis only","sensitivity only","Ali 2017","Replace 56/66 with the blood-specific 6/16 if used; do not mix stool or unspecified samples."
"15","Roy 2016","Assam, India","2014","79","13","6","0.462","1.95","TRUE","FALSE","79","13","6","0.462","0.165","patients","blood culture; Widal testing also used","Fever presentation to hospitals; no reproducible suspected-case definition reported","Small hospital-selected cultured subset; all 79 were Widal positive by slide method","Outbreak period appears aligned","Numeric pair is valid but the entry definition, selection mechanism, and sample size are inadequate for the primary community model","high","existing project extraction; primary-paper recheck recommended","not eligible: no explicit comparable definition and n<20","sensitivity only","sensitivity only","Roy 2016","Useful only to illustrate how hospital and serologic preselection can raise positivity."
"16","Kabwama 2017","Kampala, Uganda","2015","10230","364","51","0.140","0.95","TRUE","TRUE","10230","364","56","0.154","0.036","patients","blood culture","Fever >=37.5 C for >=3 days plus headache, abdominal pain, malaria-negative or treatment failure, and at least two gastrointestinal or fatigue symptoms","Cultures were obtained from a small subset at treatment centers; selection mechanism was not modeled","Cultures occurred during the outbreak surveillance period","Corrected tested denominator is valid for the cultured subset but not demonstrated representative of all 10230 suspected cases","high","primary paper verified","not eligible without selection adjustment","candidate with major verification-bias caution","verification-adjusted candidate","Kabwama 2017","Use 56/364. The summary sheet's 51/364 is stale."
"17","Qamar 2018","Hyderabad, Pakistan","2016-2017","","586","486","0.829","","FALSE","FALSE","170","170","70","0.412","1.000","active-surveillance participants; primary verification required","blood culture and susceptibility testing for ceftriaxone-resistant S. Typhi","Hyderabad resident with fever >=37.5 C for at least 3 days and no other identified cause","The published 586/486 totals combine predominantly laboratory-detected XDR cases; a nested active-surveillance group reportedly enrolled 170 suspected persons and confirmed 70","The 170/70 subset is temporally and operationally distinct from the full confirmed-case series","The summary 486/586 is not a PPV pair; the nested 70/170 pair may be usable after primary flow verification","high or unclear","summary notes and case-definition extraction; primary-paper flow reconstruction required","not eligible using summary counts","potential candidate if all 170 met the same definition and were cultured","source reconstruction needed","Qamar 2018","Target is ceftriaxone-resistant S. Typhi rather than all S. Typhi; confirm whether 70 is the relevant Typhi numerator before use."
"18","Hu 2022","Lanling, China","2016","31","31","24","0.774","","FALSE","FALSE","31","31","24","0.774","1.000","patients","all 31 patients had blood and stool collected; 24 blood-positive and one stool-only positive","Sustained fever >=38 C for >3 days plus headache and fatigue with no other diagnosed cause","All 31 reported suspected cases were sampled under surveillance and hospital collection","Full January-May outbreak series","Complete blood testing within the reported suspected-case frame","low within reported cases; possible upstream case-ascertainment bias remains","primary paper verified in current audit","candidate: complete verification","candidate","base candidate with complete verification","Hu 2022","High positivity is plausible in a concentrated common-source outbreak but should be checked against the predictive distribution for blood-culture sensitivity rather than excluded by a hard threshold."
"19","Yousafzai 2019","Hyderabad, Pakistan","2016-2018","101","101","101","1.000","","FALSE","FALSE","","","101","","","confirmed XDR cases selected for case-control analysis","blood culture-confirmed ceftriaxone-resistant S. Typhi","Febrile household or neighborhood contact of a confirmed XDR case","Activities were based on identification of culture-proven cases; 101 is not an all-suspected tested cohort","Confirmed-case period; no compatible suspected denominator","The summary tested and suspected fields repeat the confirmed-case count","critical","existing case-definition extraction; primary-paper recheck recommended","not eligible: confirmed-only series","not applicable","exclude","Yousafzai 2019","Do not interpret 101/101 as culture positivity among a syndromic cohort."
"20","Makungo 2020","Makhuduthamaga, South Africa","2017","122","65","7","0.108","","FALSE","FALSE","122","65","7","0.108","0.533","clinical specimens; patient uniqueness likely but not explicit","65 blood cultures; six stool and three rectal swabs also submitted","Resident with measured fever >38 C, acute onset, and gastrointestinal symptoms during the outbreak","Blood cultures were unavailable for some patients; 32 Widal tests were requested when culture bottles were unavailable","Full November-December outbreak investigation","Blood-specific pair is valid; partial testing appears partly resource driven but patient-level uniqueness should be confirmed","moderate","primary paper verified in current audit","not eligible for naive simple model unless missingness is treated as resource-based random","candidate for verification adjustment","verification-adjusted candidate","Makungo 2020","A useful omitted candidate because the missing-culture mechanism is partly documented; confirm whether 65 specimens represent 65 unique suspected patients."
"21","Nimonkar 2022","Amritsar, India","2019","75","75","75","1.000","1.64","TRUE","FALSE","","","75","","","confirmed or probable military cases; tested frame unresolved","blood culture reported for confirmed cases","Prolonged fever plus multiple classic typhoid signs; probable classification also used Widal or exposure","The summary appears to equate the case series with the tested and confirmed cohort","Outbreak period aligned but source flow unresolved","No independently reported tested denominator has been established","critical","summary extraction only; primary source reconstruction required","not eligible: likely confirmed-only series","possible only if a true all-suspected testing flow is recovered","source reconstruction needed","Nimonkar 2022","A positivity of 75/75 should not be accepted without verifying whether all 75 were prospectively defined suspected cases before culture."
"22","Srinivasan 2022","Vellore, India","2019","51","51","51","1.000","0.9","TRUE","FALSE","","","51","","","blood-culture-confirmed cases from active cohort surveillance","blood culture","Children with fever >=3 days met the study surveillance definition","The article reports 51 confirmed cases but not the number of suspected children cultured","Outbreak period aligned; denominator absent","The summary tested and suspected values are confirmed counts, not documented denominators","critical","existing primary-paper extraction","not eligible: no tested denominator","not applicable unless the cohort testing flow is recovered","exclude pending source reconstruction","Srinivasan 2022","The surrounding SEFI cohort size is not the suspected or cultured denominator."
"23","Wang 2022","Beijing, China","2022","23","1","1","1.000","21.7","TRUE","FALSE","","","1","","","index isolate and clinically or epidemiologically identified outbreak cases","blood and stool testing described across investigation; one blood isolate is not a sample denominator","Confirmed outbreak case definition; the summary does not provide a syndromic tested cohort","Investigation was triggered by clinically diagnosed cases; the summary records one positive blood isolate but not a testing sample","Outbreak period aligned but testing flow unresolved","One positive blood culture cannot be used as 1/1 positivity for the 23-case outbreak","critical","existing primary-paper extraction and summary notes","not eligible: trivial or misclassified denominator","not applicable","exclude","Wang 2022","The time series also duplicates cases by onset and confirmation dates; this is not a PPV observation."
