"covidence_id","source_title","authors","publication_year","doi","zotero_pdf","pdf_pages","searchable_characters","record_type","prior_audit_source","summary_row_id","study","location","outbreak_year","summary_suspected","summary_blood_tested","summary_blood_positive","summary_positivity","attack_rate_pct","legacy_attack_rate_pass","current_stage1","audited_suspected_testing_frame","audited_blood_tested","audited_blood_positive","audited_positivity","tested_fraction","denominator_unit","specimen_scope","case_definition_summary","testing_selection_mechanism","temporal_alignment","denominator_compatibility","verification_bias_risk","source_status","simple_model_status","verification_model_status","recommended_use","independence_group","audit_notes"
"#20","Extensively Drug-Resistant (XDR) Typhoid: Evolution, Prevention, and Its Management","Akram, J.; Khan, A. S.; Khan, H. A.; Gilani, S. A.; Akram, S. J.; Ahmad, F. J.; Mehboob, R.",2020,"10.1155/2020/6432580","C:/Users/jonghoon.kim/Zotero/storage/9S9SSSIU/Akram et al. - 2020 - Extensively Drug-Resistant (XDR) Typhoid Evolutio.pdf",7,43656,"narrative review","","#20","Akram 2020","","","","","","","","FALSE","FALSE","","","","","","patients","","","","","","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Akram 2020","Review of XDR typhoid evolution and management; it does not report an independently ascertained outbreak suspected-case series or a blood-culture-tested denominator."
"#35","Risk factors for typhoid outbreak in Sungai Congkak Recreational Park, Selangor 2009","Anita, S.; Amir, K. M.; Fadzilah, K.; Ahamad, J.; Noorhaida, U.; Marina, K.; Paid, M. Y.; Hanif, Z.",2012,"","C:/Users/jonghoon.kim/Zotero/storage/UXDNSEK9/Anita et al. - 2012 - Risk factors for typhoid outbreak in Sungai Congka.pdf",5,29011,"outbreak investigation","appiah2020_unique_outbreak_ppv_audit.csv","#35","Anita 2012","Sungai Congkak Recreational Park, Selangor, Malaysia","2009","45",,"4",,,"FALSE","FALSE","No syndromic denominator exists; 45 clinic-record suspects sit outside the case definition",,"4",,,"patients","blood OR urine OR stool pooled in the case definition; active screening used stool only","A person with or without clinical features, WITH ISOLATION of S. typhi in blood or urine or stool, who had visited the park on 27 Jan 2009","Passive, clinician-initiated and confirmation-gated. The case definition requires isolation, so untested suspects can never become cases. The 4 index cases were blood-cultured as paediatric inpatients, i.e. admission was the de facto blood-culture gate; the retrospective arm cultured stool only, weeks after onset","Daily epidemic curve available (Fig 1)","pi = 1 by construction: cases are defined by culture positivity, so no independent denominator exists","high","primary paper reviewed (Zotero UXDNSEK9)","not eligible: confirmed-case series with no syndromic denominator","not eligible","exclude","Anita 2012","Cleanest example of the confirmed-case-series pattern. The 12 cases are pooled blood/urine/stool and never disaggregated; only the 4 index paediatric cases are known blood-culture. Paper has numerous internal inconsistencies (68 vs 75 controls; 14 vs 39 suspects; OR 13 vs 14 vs 14.44). Typhoid vaccination of food handlers recommended post-outbreak with no numbers."
"#53","Multidrug resistant typhoid fever outbreak in Ercek Village-Van, Eastern Anatolia, Turkey: clinical profile, sensitivity patterns and response to antimicrobials","Aypak, A.; Celik, A. K.; Aypak, C.; Cikman, O.",2010,"10.1258/td.2010.090438","C:/Users/jonghoon.kim/Zotero/storage/JF9DVMSN/Aypak et al. - 2010 - Multidrug resistant typhoid fever outbreak in Erce.pdf",3,17616,"outbreak clinical series","covidence_no_timeseries_ppv_audit.csv","#53","Aypak 2010","Ercek Village, Van, Eastern Anatolia, Turkey","2008","867",,"34","0.221",,"FALSE","FALSE","867 suspected village residents, but culture appears confined to the 154 (17.8%) hospitalised","154","34","0.221","0.178","patients","blood culture (Bactec 9050) AND stool culture, reported separately; Widal on all 154 inpatients","Stepladder fever, headache, malaise with loss of appetite, usually with gastrointestinal symptoms, plus >=2 of: toxic look, relative bradycardia, rose spots on trunk, splenic enlargement, non-productive cough","SEVERITY-GATED (inferred, never stated). '154 (17.8%) were hospitalized by the treating physician' with no criteria given. All lab work is framed around the 154 inpatients; no lab data of any kind are reported for the 713 non-hospitalised. The paper never states how many of the 154 actually had blood drawn","No epidemic curve; tables only","Blood numerator (34) is recoverable, but the denominator of 154 is INFERRED from percentage arithmetic, not reported. Frame is hospitalised suspects, not all 867","high","primary paper reviewed (Zotero JF9DVMSN); Trop Doct 2010;40:160-162","marginal: usable only as a HOSPITALISED PPV (34/154 = 22.1%)","candidate with explicit severity selection","sensitivity only (severity-gated denominator)","Aypak 2010","RESOLVED the abstract's '42 (27.3%) cultures': it is POOLED blood+stool. Text says '34 (22%) cases were confirmed by blood culture and eight (5.2%) by stool culture'; 34/154=22.1%, 8/154=5.2%, 42/154=27.3% - all resolve against 154, confirming the denominator. DO NOT use 42 as a blood numerator. Population 4,700; implied attack rate 18.4%; no deaths. Paper has several internal contradictions (Table 1 ALT >2xULN 12 < ALT >5xULN 13, impossible; ciprofloxacin n=17 in text vs n=15 in Table 2)."
"#60","Genome sequencing and analysis of Salmonella enterica serovar Typhi strain CR0063 representing a carrier individual during an outbreak of typhoid fever in Kelantan, Malaysia","Baddam, R.; Kumar, N.; Shaik, S.; Suma, T.; Ngoi, S. T.; Thong, K. L.; Ahmed, N.",2012,"10.1186/1757-4749-4-20","C:/Users/jonghoon.kim/Zotero/storage/IHEKIGJG/Baddam et al. - 2012 - Genome sequencing and analysis of Salmonella enter.pdf",6,34368,"single-isolate genome report","","#60","Baddam 2012a","Kelantan, Malaysia","2005","","","","","","FALSE","FALSE","","","","","","patients","one carrier isolate","","","","No outbreak case denominator; genomic report of strain CR0063 from an individual carrier.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Baddam 2012","Single-isolate genome paper. The underlying Kelantan outbreak must be sourced from its primary epidemiological report."
"#61","Genetic fine structure of a Salmonella enterica serovar Typhi strain associated with the 2005 outbreak of typhoid fever in Kelantan, Malaysia","Baddam, R.; Kumar, N.; Thong, K. L.; Ngoi, S. T.; Teh, C. S.; Yap, K. P.; Chai, L. C.; Avasthi, T. S.; Ahmed, N.",2012,"10.1128/jb.00581-12","C:/Users/jonghoon.kim/Zotero/storage/8CCTS8MY/Baddam et al. - 2012 - Genetic fine structure of a Salmonella enterica se.pdf",2,14340,"single-isolate genome report","","#61","Baddam 2012b","Kelantan, Malaysia","2005","","","","","","FALSE","FALSE","","","1","","","patients","one S. Typhi isolate","","","","No suspected or tested denominator.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Baddam 2012","Genome announcement for strain BL196/05. It supplies one isolate, not outbreak-level diagnostic yield."
"#70","Risk Factors Associated with Extensively Drug-Resistant Typhoid in an Outbreak Setting of Lyari Town Karachi, Pakistan","Batool, R.; Qureshi, S.; Yousafzai, M. T.; Kazi, M.; Ali, M.; Qamar, F. N.",2022,"10.4269/ajtmh.21-1323","C:/Users/jonghoon.kim/Zotero/storage/WFR8NRYG/Batool et al. - 2022 - Risk Factors Associated with Extensively Drug-Resi.pdf",5,38091,"culture-defined case-control study","covidence_no_timeseries_ppv_audit.csv","#70","Batool 2022","Lyari Town, Karachi, Pakistan","2019","82",,"82",,,"FALSE","FALSE","None - cases enrolled BY blood-culture confirmation",,,,,"patients","blood culture","'We enrolled 82 patients with blood culture-confirmed Salmonella typhi' - culture-defined","Age-matched case-control design; cases are confirmed by definition","not assessed","pi = 1 by construction","unassessable","primary Zotero full text screened (Batool et al. - 2022 - Risk Factors Associated with Extensively Drug-Resi.pdf)","not eligible: culture-defined cases","not eligible","exclude","Batool 2022","Case-control risk-factor study, not a PPV study. Excluded on the abstract alone."
"#93","Formative investigation of acceptability of typhoid vaccine during a typhoid fever outbreak in Neno District, Malawi","Blum, L. S.; Dentz, H.; Chingoli, F.; Chilima, B.; Warne, T.; Lee, C.; Hyde, T.; Gindler, J.; Sejvar, J.; Mintz, E. D.",2014,"10.4269/ajtmh.14-0067","C:/Users/jonghoon.kim/Zotero/storage/ALS9QMQJ/Blum et al. - 2014 - Formative investigation of acceptability of typhoi.pdf",9,69955,"qualitative vaccine-acceptability study","","#93","Blum 2014","Neno District, Malawi","2009","","","","","","FALSE","FALSE","","","","","","patients","","","","Same general outbreak setting as the Malawi outbreak reports; not an independent diagnostic-yield observation.","Qualitative interview study; no blood-culture-tested denominator.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude; contextual duplicate","Malawi 2009 outbreak","Useful for vaccine acceptability and care-seeking context, but it provides no original numerator/denominator suitable for PPV estimation."
"#129","Emergence of Extensively Drug-Resistant Salmonella Typhi Infections Among Travelers to or from Pakistan - United States, 2016-2018","Chatham-Stephens, K.; Medalla, F.; Hughes, M.; Appiah, G. D.; Aubert, R. D.; Caidi, H.; Angelo, K. M.; Walker, A. T.; Hatley, N.; Masani, S.; Nash, J.; Belko, J.; Ryan, E. T.; Mintz, E.; Friedman, C. R.",2019,"10.15585/mmwr.mm6801a3","C:/Users/jonghoon.kim/Zotero/storage/AYZD4XJE/Chatham-Stephens et al. - 2019 - Emergence of Extensively Drug-Resistant Salmonella.pdf",3,23417,"travel-associated case surveillance","","#129","Chatham-Stephens 2019","United States; exposure in Pakistan","2016-2018","","","","","","FALSE","FALSE","","","","","","patients","culture-confirmed traveler cases","","","","Confirmed cases only; no suspected traveler denominator.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Chatham-Stephens 2019","Surveillance response to the Pakistan XDR outbreak; traveler isolates cannot provide outbreak clinical-definition PPV."
"#136","Identification of carriers among individuals recruited in the typhoid registry in Malaysia using stool culture, polymerase chain reaction, and dot enzyme immunoassay as detection tools","Chua, A. L.; Aziah, I.; Balaram, P.; Bhuvanendran, S.; Anthony, A. A.; Mohmad, S. N.; Nasir, N. M.; Hassan, H.; Naim, R.; Meran, L. P.; Hussin, H. M.; Ismail, A.",2015,"10.1177/1010539512458521","C:/Users/jonghoon.kim/Zotero/storage/ISDZYG4V/Chua et al. - 2015 - Identification of carriers among individuals recru.pdf",9,36842,"carrier-registry study","covidence_no_timeseries_ppv_audit.csv","#136","Chua 2015","Kelantan, Malaysia","",,,,,,"FALSE","FALSE","Not an outbreak case series - a chronic-carrier registry study",,,,,"patients","STOOL culture + PCR; Typhidot-C serology","Not applicable - carriage, not acute illness","Not applicable","not assessed","Wrong estimand entirely: chronic carriage prevalence, not case-definition PPV","unassessable","primary Zotero full text screened (Chua et al. - 2015 - Identification of carriers among individuals recru.pdf)","not eligible: carrier study","not eligible","exclude","Chua 2015","Chronic carriage 3.6% (4/110) among past acute typhoid cases; 9.4% (10/106) in another group. Stool-based. Not a PPV study."
"#142","Epidemic typhoid in vietnam: molecular typing of multiple-antibiotic-resistant Salmonella enterica serotype typhi from four outbreaks","Connerton, P.; Wain, J.; Hien, T. T.; Ali, T.; Parry, C.; Chinh, N. T.; Vinh, H.; Ho, V. A.; Diep, T. S.; Day, N. P.; White, N. J.; Dougan, G.; Farrar, J. J.",2000,"10.1128/jcm.38.2.895-897.2000","C:/Users/jonghoon.kim/Zotero/storage/AFV2LD2Z/Connerton et al. - 2000 - Epidemic typhoid in vietnam molecular typing of m.pdf",3,27639,"multi-outbreak isolate typing","","#142","Connerton 2000","Southern Vietnam","1993-1997","","","","","","FALSE","FALSE","","","75","","","patients","75 S. Typhi isolates from four outbreaks","","","","Isolate counts are not the number of patients offered blood culture; no compatible denominator.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude; retrieve primary epidemiological reports if needed","Connerton 2000","Typing paper covers Kien Giang, Cai Be, Tan Thuan and District 6 outbreaks. Reported isolate counts and outbreak case totals cannot be combined into blood-culture positivity."
