pmid,decision,layer,reason,citation_chase,language_exclude
765284,exclude,none,mouse salivary antibody immunology; not diagnostic,no,no
8354566,exclude,none,case reports salmonella sacroiliitis; no denominator,no,no
2443287,exclude,none,monoclonal IgM protein specificity; not diagnostic,no,no
30936374,exclude,none,bile curli fimbriae biofilm; molecular,no,no
19465870,exclude,none,Lactobacillus antibacterial peptides; not diagnostic,no,no
2915026,exclude,none,multilocus enzyme electrophoresis clonal; molecular,no,no
24615129,exclude,none,cytokine T-cell responses typhoid; immunology,no,no
7445882,exclude,none,Russian language; bacterial culture physiology,no,yes
32694956,exclude,none,plant extract antibacterial screening; not diagnostic,no,no
29348094,exclude,none,biofilm gallstones Manuka honey; molecular,no,no
26446080,exclude,none,quinolone resistant mutants virulence; molecular,no,no
20861532,exclude,none,pathogenicity island regulatory pathways; molecular,no,no
15026021,exclude,none,Vi polysaccharide O-acetyl assay; vaccine QC,no,no
23333431,exclude,none,typhoid vaccine inflammatory response; not diagnostic,no,no
22679502,exclude,none,IL-17 CD8 T cells vaccine; immunology,no,no
6772597,exclude,none,general hospital blood culture spectrum; not typhoid-specific,no,no
19889623,exclude,none,gyrA mutations fluoroquinolone; AMR molecular,no,no
86040,exclude,none,gallbladder carrier detection string; carriers special population,no,no
776080,exclude,none,Russian language; bacterial polyamines,no,yes
23790417,exclude,none,HlyE antigen cloning immunoassay; molecular,no,no
26148116,exclude,none,dehydratase enzyme inhibitor; molecular,no,no
28570603,exclude,none,Omp T and B cell responses vaccine; immunology,no,no
1797643,exclude,none,disc diffusion false resistance artifact; AMR method,no,no
2259337,exclude,none,electroporation transformation method; molecular,no,no
2891982,exclude,none,PBL antibody immune response vaccine; immunology,no,no
6441172,exclude,none,bacterial surface charge titration; not diagnostic,no,no
702624,exclude,none,animal serology S. typhi carriers; not human,no,no
11738748,exclude,none,Ty21a urease vaccine volunteers; immunogenicity,no,no
3024564,exclude,none,plasmid citrate utilization determinant; molecular,no,no
14604543,exclude,none,TUBEX detects IgM mechanism; not culture accuracy,no,no
