"pmid","decision","layer","reason","citation_chase","language_exclude"
"19150533","exclude","none","miliary tuberculosis FUO case report not typhoid","no","no"
"30286076","maybe","L3","Widal seroprevalence among symptomatic no culture confirmation","no","no"
"35144539","maybe","L1","blood culture positivity 3.4 percent among enteric patients","no","no"
"32974493","exclude","none","non-typhoidal Salmonella Corvallis case report no denominator","no","no"
"40853953","exclude","none","Rift Valley fever outbreak typhoid only misdiagnosis","no","no"
"31104097","exclude","none","molecular SiiE diagnostic target no positivity data","no","no"
"23199723","exclude","none","typhoid splenic abscess complication case report no denominator","no","no"
"22582542","include","L3","typhoid outbreak culture-based case definition twelve confirmed cases","no","no"
"2671583","exclude","none","antibody immunoblot patterns not diagnostic accuracy positivity","no","no"
"40655045","exclude","none","typhoid risk-factor case-control no positivity or accuracy","no","no"
"39310443","exclude","none","tropical co-infection case report no denominator","no","no"
"18197292","exclude","none","enteric disease temporal climate trends no case definition","no","no"
"7840580","exclude","none","ceftriaxone pharmacokinetics no diagnostic or positivity data","no","no"
"25819116","maybe","L2","culture-confirmed typhoid versus iNTS clinical feature comparison","no","no"
"31917040","exclude","none","cost-effectiveness environmental surveillance vaccine not diagnostic","no","no"
"34872055","exclude","none","climate effect on typhoid incidence no case definition","no","no"
"4031513","include","L3","typhoid outbreak travelers seven confirmed cases attack proportion","no","no"
"16178911","exclude","none","bone marrow haemophagocytosis tropical infections not culture accuracy","no","no"
"5424243","exclude","none","Russian in vitro bone marrow macrophage study","no","yes"
"1024452","exclude","none","Russian rabbit typhoid carrier animal study","no","yes"
"14166830","exclude","none","bone marrow hematopoiesis blood defense not typhoid","no","no"
"30047365","exclude","none","typhoid control intervention implementation research no diagnostic content","no","no"
"36040531","exclude","none","invasive Salmonella children clinical profiles AMR not accuracy","no","no"
"30160309","exclude","none","fowl typhoid poultry mites not human","no","no"
"8952682","exclude","none","Yersinia serodiagnosis typhoid only specificity control","no","no"
"11022393","exclude","none","generic communicable disease surveillance not typhoid specific","no","no"
"2788407","include","multiple","typhoid children blood culture positive 57 percent clinical features","no","no"
"15490798","maybe","L1","pediatric blood culture positivity S. typhi 1.3 percent","no","no"
"34513384","exclude","none","azithromycin susceptibility test accuracy not case definition culture","no","no"
"936963","exclude","none","Polish typhoid vaccine granulocyte physiology study","no","yes"
"25778506","exclude","none","discharge-code travel surveillance incidence not diagnostic accuracy","no","no"
