pmid,decision,layer,reason,citation_chase,language_exclude
22898330,exclude,none,FUO lymphoma case report not typhoid,no,no
21984464,exclude,none,appendicitis case report typhoid incidental,no,no
25477693,exclude,none,in-vitro antibacterial plant extract,no,no
30223978,maybe,L3,typhoid outbreak letter Yucatan,no,no
19980696,maybe,L3,typhoid outbreak inoculated soldiers,no,no
18008751,maybe,L3,typhoid outbreaks Kona Hawaii,no,no
16548287,exclude,none,bone marrow exam HIV special population,no,no
8773033,maybe,L2,false-positive Widal specificity in malaria,no,no
3886805,exclude,none,non-typhoidal Salmonella enteritidis outbreak,no,no
20773810,maybe,L3,typhoid outbreak Pretoria,no,no
19980703,maybe,L3,typhoid outbreak inoculated soldiers abstract,no,no
10564517,exclude,none,F plasmid protein molecular biology,no,no
12114987,exclude,none,recombinant antigen vaccine construct,no,no
13457851,exclude,none,non-eligible language greek,no,yes
14898867,exclude,none,typhoid therapy only,no,no
17648207,exclude,none,fowl typhoid animal outbreak,no,no
6883481,maybe,L3,food-borne typhoid outbreak,no,no
27038678,exclude,none,Salmonella serotype AMR surveillance no positivity,no,no
27579063,exclude,none,typhoid pregnancy case report review,no,no
9267060,exclude,none,cholera typhoid vaccine review,no,no
33117307,exclude,none,Salmonella Pullorum poultry detection,no,no
9567551,exclude,none,MDR typhoid diarrhea treatment series,no,no
769383,exclude,none,non-eligible language russian,no,yes
5871422,exclude,none,non-eligible language russian,no,yes
19599438,maybe,L3,milk-borne typhoid outbreaks,no,no
31665783,exclude,none,geospatial sampling methodology no positivity,no,no
4921576,maybe,L2,diagnostic specificity Widal typhoid,no,no
5884347,exclude,none,non-eligible language russian,no,yes
18014906,exclude,none,typhoid carrier detection culture methods,no,no
18008959,maybe,L3,milk-borne paratyphoid outbreak,no,no
19599354,maybe,L3,epidemiological diagnosis treatment typhoid outbreaks,no,no
21922141,exclude,none,outer membrane protein vaccine targets,no,no
25009682,exclude,none,traveller surveillance special population,no,no
24657719,exclude,none,typhoid vaccine phase I immunogenicity,no,no
4965748,maybe,L3,typhoid outbreak special forces camp,no,no
19563303,exclude,none,oral typhoid vaccine delivery,no,no
7091481,exclude,none,bottled beverage source survival study,no,no
19938704,exclude,none,non-eligible language russian,no,yes
13578384,exclude,none,non-eligible language hungarian,no,yes
20282342,maybe,L3,epidemiological diagnostic enteric fever outbreaks,no,no
12119784,exclude,none,non-eligible language norwegian,no,yes
14447675,exclude,none,typhoid carrier detection sewer swabs,no,no
15400230,exclude,none,non-eligible language italian,no,yes
16555513,maybe,L2,clinical laboratory features confirmed typhoid Senegal,no,no
16203825,exclude,none,non-typhoid salmonella risk factors bacteraemia,no,no
5937233,exclude,none,experimental typhoid antibody immunology,no,no
34734056,exclude,none,S typhi appendicitis case report,no,no
8484236,exclude,none,non-eligible language russian,no,yes
545952,exclude,none,non-eligible language german,no,yes
3621392,exclude,none,paratyphi phage typing AMR,no,no
38476771,exclude,none,pediatric bloodstream AMR etiology Nepal,no,no
5564038,maybe,L3,water-borne typhoid outbreak study,no,no
14978385,exclude,none,non-eligible language italian,no,yes
26689654,exclude,none,alphavirus arthritis not typhoid,no,no
34155454,exclude,none,peritonitis surgery typhoid incidental,no,no
27473999,exclude,none,fowl typhoid chicken vaccine,no,no
18014502,maybe,L3,typhoid outbreak Philadelphia supper,no,no
33378280,exclude,none,septicemia etiology AMR not typhoid-specific,no,no
33593770,exclude,none,BCG vaccine response protocol,no,no
19868159,exclude,none,bacterial anaphylaxis experimental immunology,no,no
3872496,maybe,L3,pediatric clinical findings typhoid outbreak Ankara,no,no
5303942,exclude,none,non-eligible language polish,no,yes
18866306,maybe,L2,false-positive typhoid serodiagnosis in tuberculosis,no,no
19973322,maybe,L3,typhoid carrier traced institution outbreaks,no,no
14804632,exclude,none,enteric carrier detection sewage,no,no
41469570,exclude,none,typhoid incidence spatial trends no positivity,no,no
1230059,exclude,none,non-eligible language italian,no,yes
22043361,exclude,none,ciprofloxacin resistance pattern AMR,no,no
20734698,exclude,none,water-borne disease WASH water quality,no,no
2505788,exclude,none,in-vitro elastase lysis bacteria,no,no
23922794,exclude,none,prostaglandin macrophage Typhimurium molecular,no,no
20180702,exclude,none,non-typhoid salmonella HIV pathogenesis,no,no
4982974,exclude,none,non-eligible language ukrainian,no,yes
5303956,exclude,none,non-eligible language polish,no,yes
19600853,maybe,L3,typhoid outbreak public water supply,no,no
17252949,exclude,none,Schiff base metal complexes chemistry,no,no
4633964,exclude,none,oral typhoid vaccine IgA immunogenicity,no,no
19599350,maybe,L3,differentiation typhoid outbreaks water milk flies,no,no
1459614,exclude,none,in-vitro elastase lysis bacteria,no,no
3185268,exclude,none,non-typhoid salmonella sensitivity Tunisia,no,no
29734964,exclude,none,disease modelling review outbreaks,no,no
2745262,exclude,none,furazolidone HPLC pharmacology,no,no
6347281,exclude,none,mouse typhoid resistance genetics experimental,no,no
14217811,exclude,none,non-eligible language swedish,no,yes
25704650,exclude,none,scrub typhus not typhoid,no,no
18015753,maybe,L3,typhoid outbreak small colony variant,no,no
18014590,exclude,none,bile specimen typhoid carrier detection,no,no
14710861,exclude,none,brucellosis review not typhoid,no,no
19184834,exclude,none,fowl typhoid chicken vaccine protection,no,no
8945708,maybe,L2,relative bradycardia predictive clinical sign typhoid,no,no
18016290,maybe,L3,typhoid outbreak orange juice vehicle,no,no
7123764,exclude,none,non-eligible language russian,no,yes
18015894,maybe,L3,laboratory aids typhoid outbreak investigation,no,no
38991917,exclude,none,TCV coverage survey no positivity,no,no
37090439,exclude,none,Vi vaccine herd protection efficacy trial,no,no
5870003,exclude,none,non-eligible language russian,no,yes
4953565,maybe,L3,typhoid paratyphoid seasonal outbreak analysis,no,no
20475717,maybe,L3,water-borne typhoid outbreak bacteriophage typing,no,no
18013341,maybe,L3,water-borne typhoid outbreak epidemiological,no,no
3098149,maybe,L1,typhoid paratyphoid children blood culture yield,no,no
12947746,exclude,none,tularemia bioterrorism not enteric fever,no,no
5223568,exclude,none,typhoid carrier detection only,no,no
19599444,maybe,L3,typhoid outbreak double water supply,no,no
41696252,exclude,none,ETEC DNA biosensor not typhoid,no,no
38264668,exclude,none,glycoconjugate vaccine immunogenicity no positivity,no,no
30163838,exclude,none,historical review disease identity,no,no
41957795,exclude,none,fowl typhoid multiplex PCR animal,no,no
42209036,exclude,none,case report salmonella aortitis,no,no
32268967,exclude,none,foodborne disease burden DALY,no,no
28283139,exclude,none,disaster disease incidence risk-factor,no,no
40384064,maybe,L2,ML clinical prediction typhoid recall,no,no
31951615,exclude,none,Ebola rapid test not typhoid,no,no
4599123,exclude,none,R factor plasmid AMR mechanism,no,no
36064672,exclude,none,TCV immunogenicity safety no positivity,no,no
26518404,exclude,none,Vi vaccine immunogenicity no positivity,no,no
13244325,exclude,none,non-eligible language Polish,no,yes
18009293,exclude,none,typhoid carrier detection only,no,no
41658794,exclude,none,AMR antibiogram not typhoid diagnostic,no,no
2237324,exclude,none,carrier screening refugees special population,no,no
42268833,exclude,none,vaccine campaign cost analysis,no,no
42061565,exclude,none,plant extract antibacterial vitro animal,no,no
10993431,exclude,none,ileoscopy diagnostic yield not typhoid,no,no
42079494,exclude,none,case report spondylodiscitis,no,no
20752796,maybe,L3,typhoid outbreak milk consumers,no,no
41596466,exclude,none,photodynamic antibacterial in vitro,no,no
34394052,exclude,none,genomic characterization non-typhoidal Salmonella,no,no
16730364,exclude,none,WASH intervention incidence trends,no,no
19062484,exclude,none,abdominal radiograph accuracy not typhoid,no,no
34095368,exclude,none,HPV vaccine vector animal toxicology,no,no
28261270,exclude,none,case report neck abscess,no,no
