"pmid","decision","layer","reason","citation_chase","language_exclude"
"994201","exclude","none","leukemia epidemiology; typhoid only incidental","no","no"
"42378411","exclude","none","WASH latrine contamination study; no typhoid diagnostics","no","no"
"40200331","exclude","none","poultry fowl typhoid survey; not human","no","no"
"40091670","exclude","none","poultry Salmonella Gallinarum outbreak; not human","no","no"
"35762117","exclude","none","cattle Salmonella abortion; not human","no","no"
"23687374","exclude","none","Salmonella cell-invasion cell biology; no diagnostics","no","no"
"17056609","exclude","none","integron AMR mechanism; not typhoid diagnostics","no","no"
"15995186","exclude","none","fowl Gallinarum genomics; not human","no","no"
"8801384","exclude","none","AIDS-defining disease spectrum; not typhoid","no","no"
"8717405","exclude","none","Salmonella-HIV vaccine vector; mouse model","no","no"
"6382556","exclude","none","historical bacterial toxin study; no diagnostics","no","no"
"6358358","exclude","none","mouse resistance-gene immunology; not human","no","no"
"7151768","exclude","none","water disinfectant review; no typhoid positivity","no","no"
"7183505","exclude","none","health education program; no typhoid diagnostics","no","no"
"4596512","exclude","none","murine enteric infection pathogenesis; not human","no","no"
"4991116","exclude","none","EAE immunology; typhoid vaccine incidental","no","no"
"4958757","exclude","none","mouse typhoid immunity mechanism; not human","no","no"
"35398300","exclude","none","vaccine campaign disruption; no typhoid positivity","no","no"
"32845394","exclude","none","German travel vaccination review; special population","no","yes"
"30016183","exclude","none","azithromycin resistance in isolates; no positivity","no","no"
"26824096","exclude","none","Russian historical biography; typhoid incidental","no","yes"
"16713725","exclude","none","non-typhoid plasmid evolution review; no diagnostics","no","no"
"16689554","exclude","none","vaccine adverse-event data mining; no diagnostics","no","no"
"14580391","exclude","none","pili pathogenesis molecular study; not diagnostics","no","no"
"1795626","exclude","none","mouse TNF-alpha infection immunology; not human","no","no"
"2578415","exclude","none","immune-neuroendocrine loop; typhoid vaccine incidental","no","no"
"7043703","exclude","none","Salmonella antibiotic-resistance review; no diagnostics","no","no"
"16562060","exclude","none","mouse Vi antibody immunology; not human","no","no"
"28546075","exclude","none","community antibiotic-storage survey; no typhoid diagnostics","no","no"
"40364457","exclude","none","mushroom antibacterial extract; in-vitro only","no","no"
"39273999","exclude","none","plant extract antibacterial; in-vitro only","no","no"
"38901812","exclude","none","nanoparticle antibacterial synthesis; in-vitro only","no","no"
"38818013","exclude","none","ciprofloxacin conjugate antibacterial synthesis; in-vitro only","no","no"
"38808708","exclude","none","Schiff base complex antibacterial; in-vitro only","no","no"
"29620488","exclude","none","foodborne bacteria on mangoes; food microbiology","no","no"
"28424024","exclude","none","endophytic fungus antibacterial extract; in-vitro","no","no"
"23277183","exclude","none","metal complex antibacterial synthesis; in-vitro","no","no"
"39369714","exclude","none","vaccine-associated erythema multiforme; no diagnostics","no","no"
"40140199","exclude","none","Enterococcus antimicrobial activity; in-vitro only","no","no"
"35721680","exclude","none","cadmium complex antibacterial synthesis; in-vitro","no","no"
"32399732","maybe","L3","FUO etiology; S. typhi detected among febrile patients","no","no"
"26470879","exclude","none","pomegranate flower extract antibacterial; in-vitro","no","no"
"24977047","exclude","none","saponin rumen fermentation antimicrobial; in-vitro","no","no"
"24697105","exclude","none","food Salmonella prevalence; not human typhoid","no","no"
"22046776","exclude","none","Romanian gastroenteritis etiology; typhoid incidental","no","yes"
"18474513","exclude","none","disc susceptibility testing guideline; no positivity","no","no"
"7961465","exclude","none","staphylococcus capsule gene sequencing; not typhoid","no","no"
"1889472","exclude","none","Trichinella antigen immunochemistry; typhi control only","no","no"
"40558202","exclude","none","Enterococcus probiotic genomics; in-vitro antimicrobial","no","no"
"40171741","exclude","none","SEM specimen preparation method; not diagnostics","no","no"
"38376818","exclude","none","lysozyme peptide food preservative; in-vitro","no","no"
"38323916","exclude","none","marbofloxacin rare-earth complexes; in-vitro veterinary","no","no"
"38201154","exclude","none","date seed extract bioactivity; in-vitro","no","no"
"34058749","exclude","none","genomic island prediction algorithm; bioinformatics","no","no"
"30453162","exclude","none","MgO nanostructure antibacterial; in-vitro","no","no"
"27698594","exclude","none","goat milk protein antimicrobial; in-vitro","no","no"
"27642330","exclude","none","silver nanoparticle antibacterial; in-vitro","no","no"
"24289297","exclude","none","Lawsonia extract antimicrobial; in-vitro","no","no"
"23241124","exclude","none","single-patient case report; no denominator","no","no"
"18711992","exclude","none","papaya seed extract antibacterial; in-vitro","no","no"
"10417189","exclude","none","Campylobacter cell-invasion biology; typhi control","no","no"
"40882033","exclude","none","thiazole Schiff base antimicrobial synthesis; in-vitro","no","no"
"40324010","exclude","none","mangrove fruit extract bioactivity; in-vitro animal","no","no"
"37089303","exclude","none","proton-transfer compound antibacterial; in-vitro","no","no"
"36749057","exclude","none","oyster mushroom antimicrobial; in-vitro","no","no"
"36198663","exclude","none","fermented juice anti-Salmonella; in-vitro","no","no"
"33824912","exclude","none","human-infection-study ethics workshop; no diagnostics","no","no"
"25441176","exclude","none","lung cancer gene therapy; typhi vector only","no","no"
"24118020","exclude","none","neem glycolipid antibacterial antiviral; in-vitro","no","no"
"18369469","exclude","none","bacterial lysozyme inhibitor molecular study; not diagnostics","no","no"
"16186422","exclude","none","typhoid vaccine inflammation model; cardiovascular study","no","no"
"41493747","exclude","none","in-silico multi-epitope vaccine design; no diagnostics","no","no"
"38523864","exclude","none","cost-effectiveness model of putative RDT; cost-only","no","no"
"21663681","maybe","L3","reports S. typhi proportion among clinical isolates","no","no"
"42172819","exclude","none","migrant vaccination policy analysis; no diagnostics","no","no"
"40106483","exclude","none","climate-sensitive disease systematic review; typhoid incidental","yes","no"
"6279904","exclude","none","Japanese antibiotic pharmacokinetics; treatment study","no","yes"
"37901018","exclude","none","single-infant case report; no denominator","no","no"
"31660916","exclude","none","pre-travel vaccination attendance; special population travellers","no","no"
"26407248","exclude","none","pediatric FUO case-mix; typhoid single incidental case","no","no"
"26026478","exclude","none","traveller infectious-risk review; special population","no","no"
"24772146","exclude","none","intestinal perforation histopathology series; not typhoid diagnostics","no","no"
"22882735","exclude","none","pneumococcal vaccine history review; typhoid incidental","no","no"
"19111416","exclude","none","transplant traveller vaccination review; special population","no","no"
"16854638","exclude","none","chicken Gallinarum resistance; not human","no","no"
"1462654","exclude","none","waterborne outbreak statistics review; typhoid historical","no","no"
"19869495","exclude","none","rabbit pneumococcus experiment; typhoid vaccine incidental","no","no"
"40278343","exclude","none","metabolomics machine-learning method; typhoid dataset incidental","no","no"
"38806936","exclude","none","aptamer biosensor for typhimurium; analytical lab only","no","no"
"35193678","exclude","none","porin gene regulation molecular study; not diagnostics","no","no"
"34953378","exclude","none","poultry Salmonella genomics; not human typhoid","no","no"
"32725237","exclude","none","risk-based vaccination strategy; no diagnostics","no","no"
"31200410","exclude","none","Russian Salmonella susceptibility-testing review; no positivity","no","yes"
"25253256","exclude","none","microscopy techniques review; not diagnostics","no","no"
"24423767","exclude","none","automated surveillance alert-system evaluation; typhoid incidental","no","no"
"23355012","exclude","none","pediatric GI-bleed management review; typhoid incidental","no","no"
"26443352","exclude","none","enteric vaccine review; no diagnostics","no","no"
"12577880","exclude","none","Belarus healthcare history; typhoid incidental","no","yes"
"12024069","exclude","none","steroids in sepsis review; typhoid incidental","yes","no"
"10992466","exclude","none","transgenic mouse CRP Salmonella protection; not human","no","no"
"10472582","exclude","none","salmonellosis in HIV patients; special population","no","no"
"42293268","exclude","none","rat spleen plant-extract study; not human","no","no"
"29627914","exclude","none","mouse probiotic supplementation; not human","no","no"
"29311233","exclude","none","subunit vaccine efficacy in mice; no diagnostics","no","no"
"27463979","exclude","none","Ebola community morbidity survey; typhoid self-report","no","no"
"24052682","exclude","none","health-payment coping survey; typhoid self-report","no","no"
"23812827","exclude","none","foodborne illness celiac-risk cohort; non-typhoid","no","no"
"22487850","exclude","none","murine plant-protein Salmonella protection; not human","no","no"
"18715828","exclude","none","cytolysin molecular characterization; not diagnostics","no","no"
"17931727","exclude","none","mouse FACS infection method; not human","no","no"
"15322005","exclude","none","Salmonella effector protein molecular study; not diagnostics","no","no"
"12417487","exclude","none","drinking-water arsenic toxicology; typhoid incidental","no","no"
"12009571","exclude","none","mouse Salmonella cytokine immunology; not human","no","no"
"11500419","exclude","none","chicken Gallinarum virulence molecular; not human","no","no"
"486263","exclude","none","infection growth-development review; typhoid incidental","no","no"
"76667","exclude","none","corticosteroid immune-response trial; typhoid antigen incidental","no","no"
"14460901","exclude","none","rabbit CRP immunohistochemistry; typhoid vaccine incidental","no","no"
"40100610","exclude","none","pediatric fever management review; no diagnostic data","no","no"
"38806731","exclude","none","Salmonella Infantis CRISPR genomics typing; not human","no","no"
"38405358","exclude","none","COVID herbal single case report; no denominator","no","no"
"34990526","exclude","none","GI infection notification trends COVID; typhoid incidental","no","no"
"34752316","exclude","none","QuantiFERON COVID severity study; typhoid incidental","no","no"
"31737260","exclude","none","vaccine-AMR expert survey; no diagnostics","no","no"
"28730976","exclude","none","Salmonella intracellular lifestyle review; not diagnostics","no","no"
"25902162","exclude","none","dengue-in-pregnancy positivity; typhoid single coinfection","no","no"
"25348184","exclude","none","thalassemia splenectomy immune study; special population","no","no"
"17878285","exclude","none","food-animal Salmonella pathogenicity review; not diagnostics","no","no"
"16311662","exclude","none","childhood diarrhea etiology; non-typhoid Salmonella","no","no"
"26443519","exclude","none","imaging techniques review; not diagnostics","no","no"
"12287631","exclude","none","WHO editorial commentary; no typhoid content","no","no"
"1671681","exclude","none","enteric vaccine public-health symposium; no diagnostics","no","no"
"3323855","exclude","none","mouse typhoid IL-1 IL-2 immunity; not human","no","no"
"40890271","exclude","none","food ddPCR detection method; analytical only","no","no"
"39692481","exclude","none","mouse shigellosis vaccine model; not human","no","no"
"38024690","exclude","none","metal complex antimicrobial synthesis; in-vitro","no","no"
"28611744","exclude","none","Campylobacter gallbladder transcriptomics; not human diagnostics","no","no"
"27087084","exclude","none","turmeric extract antimicrobial antioxidant; in-vitro","no","no"
"25386394","exclude","none","Piper betel extract antibacterial anthelmintic; in-vitro","no","no"
"16242210","exclude","none","super-oxidized water disinfectant; in-vitro","no","no"
"36034966","exclude","none","Senna leaf extract antibacterial antioxidant; in-vitro","no","no"
"35185549","exclude","none","silver nanoparticle antimicrobial anticancer; in-vitro","no","no"
"34057948","exclude","none","burn-wound pathogen antibiogram; typhoid incidental","no","no"
"32265871","exclude","none","glnA quinolone-susceptibility mechanism; molecular","no","no"
"29085137","exclude","none","essential oils antimicrobial GC-MS; in-vitro","no","no"
"25371593","exclude","none","Kirkia root extract antimicrobial; in-vitro","no","no"
"22219586","maybe","L3","S. typhi leading bloodstream-infection isolate; positivity reported","no","no"
"21969008","exclude","none","typhoid vaccine inflammation model; vascular study","no","no"
"20338672","exclude","none","oxovanadium Schiff base antibacterial; in-vitro","no","no"
"11694355","exclude","none","Landolphia root extract antibacterial; in-vitro","no","no"
"7591112","exclude","none","OmpC porin epitope molecular study; not diagnostics","no","no"
"21894070","exclude","none","Korean malaria history; typhoid incidental","no","yes"
"40330800","exclude","none","Hibiscus extract antibacterial antitumor; in-vitro","no","no"
"40174845","exclude","none","chitosan film essential-oil antibacterial; in-vitro","no","no"
"37945578","exclude","none","silver nanoparticle foodborne-pathogen inhibition; in-vitro","no","no"
"37932698","exclude","none","Enterococcus probiotic safety genomics; in-vitro","no","no"
"36422242","exclude","none","Brevibacillus extract antimicrobial anticancer; in-vitro","no","no"
"36109458","exclude","none","endophytic fungi bioactive antimicrobial; in-vitro","no","no"
"35680025","exclude","none","transgenic alfalfa antimicrobial peptide; in-vitro","no","no"
"28651578","exclude","none","silver nanoparticle bitter-melon antibacterial; in-vitro","no","no"
"23095488","exclude","none","edible mushroom antioxidant antimicrobial; in-vitro","no","no"
"40338444","exclude","none","mango peel extract antibacterial; in-vitro","no","no"
"38673777","exclude","none","Streptomyces antimicrobial metabolites; in-vitro","no","no"
"36890980","exclude","none","Spirulina extract antimicrobial; in-vitro","no","no"
"36417758","exclude","none","CuO nanorod antimicrobial anticancer; in-vitro","no","no"
"34766874","exclude","none","MurD ligase inhibitor in-silico screening; not diagnostics","no","no"
"28893183","exclude","none","AMR in Africa systematic review; typhoid incidental","yes","no"
"28452944","exclude","none","silver nanoparticle antimicrobial larvicidal; in-vitro","no","no"
"25954615","exclude","none","diarrheal infection etiology India; typhoid incidental","no","no"
"22224051","exclude","none","tea extract antioxidant antibacterial; in-vitro","no","no"
"40618784","exclude","none","temperature-infectious disease association; typhoid incidental","no","no"
"35889490","exclude","none","silver nanoparticle antimicrobial; in-vitro","no","no"
"40572261","exclude","none","waterborne diarrheagenic pathogen WGS; not typhoid","no","no"
"39977472","exclude","none","antibiotic prescription audit Sudan; typhoid incidental","no","no"
