study,layer,setting_label,why_candidate,provenance,data_recoverable
Akoh 1991 (Zaria),culture_accuracy,hospital-referred,paired BC/BM 2x2 + volume (Mogasale study 1),web via Mogasale2016,2x2+volume
Hirsowitz 1951 (Transvaal),culture_accuracy,hospital-referred,paired BC/BM 2x2 (Mogasale),web via Mogasale2016,2x2 (no volume)
Farooqui 1991 (Karachi),culture_accuracy,hospital-referred,paired BC/BM 2x2 + volume (Mogasale),web via Mogasale2016,2x2+volume
Gasem 1995 (Semarang),culture_accuracy,hospital-referred,paired BC/BM 2x2 + two volumes (Mogasale/Antillon),web via Mogasale2016,2x2+volume
Gasem 2002 (Semarang),culture_accuracy,hospital-referred,paired BC/BM 2x2 + volume (Mogasale),web via Mogasale2016,2x2+volume
Chaicumpa 1992 (Jakarta),culture_accuracy,hospital-referred,paired BC/BM 2x2 + volume (Mogasale),web via Mogasale2016,2x2+volume
Wain 2008 (Dong Thap),culture_accuracy,hospital-referred,paired BC/BM 2x2 + two volumes (Mogasale/Antillon),web via Mogasale2016,2x2+volume
Gilman 1975 (Mexico City),culture_accuracy,hospital-referred,paired BC/BM 2x2 (Mogasale),web via Mogasale2016,2x2 (BM vol NR)
Guerra-Caceres 1979 (Lima),culture_accuracy,hospital-referred,paired BC/BM 2x2 + volume (Mogasale),web via Mogasale2016,2x2+volume
Vallenas 1985 (Lima),culture_accuracy,hospital-referred,paired BC/BM 2x2 (Mogasale; both-neg cell flagged),web via Mogasale2016,2x2 (verify cell d)
Wain 2001 (Vietnam bone marrow quantitation),culture_accuracy,hospital-referred,paired blood+marrow quantitation; overlap check vs Wain 2008,web (PMC87972),partial (overlap risk)
Mogasale 2016 (systematic review),culture_accuracy,n/a,source of the 10 paired studies + pooled BC Se 61-66%,zotero FETGANPJ/XN95ULUY,meta-source
Antillon 2018 (volume meta-regression),culture_accuracy,mixed-facility,25 studies BC Se vs blood volume; volume-slope prior,zotero 6FNQL499/EPIZH3LX/V4HJT5JR,meta-source (volume/Se)
Thriemer 2012 (Pemba),clinical_definition;positivity,community-or-surveillance,WHO suspected vs probable Se/Sp vs culture; low-endemicity positivity ~2%,zotero FCJAVDWC,Se/Sp+positivity
Hosoglu 2006 (Turkey),clinical_definition,hospital-referred,prediction rule Se 84 / Sp 82 vs culture (embeds Widal),web (OUP),Se/Sp
Ross & Abraham 1987 (Malaysia),clinical_definition,hospital-referred,Bayesian rule Se 92 / Sp 80 vs blood+stool culture,web (PMID 3686631),Se/Sp
Vollaard 2005 (Jakarta),clinical_definition,community-or-surveillance,outpatient clinical identification; likely no clean Se/Sp (qualitative),web (PMID 15837356),weak/none
Dong 2010 (Hechi China),clinical_definition,community-or-surveillance,fever+triple-serology combined definition Se/Sp; specificity ceiling,web (PMC2870657),Se/Sp
SEAP clinical-features 2020 (Bangladesh/Nepal/Pakistan),clinical_definition;positivity,mixed-facility,clinical case definition PPV ~10.5% (7.2-15.0),web (PMC7705879),PPV/positivity
Storey 2015 (DTA meta-analysis),clinical_definition,n/a,serology Se/Sp (Widal/TUBEX/Typhidot); WHO suspected 0.83/0.36,zotero N6MAP2JM,meta-source (Se/Sp)
Mawazo 2019 (Tanzania),clinical_definition,mixed-facility,Widal + stool culture performance vs blood culture,zotero 5PEHN9JS,Se/Sp (serology)
Darton 2017 (blood culture-PCR),culture_accuracy,mixed-facility,BC vs PCR optimisation; culture yield,zotero 47BQ724N,partial
Aye 2004 (Madaya Myanmar),positivity,community-or-surveillance,suspected 49 / cultured 22 / conf 3 (positivity 0.14),zotero 8YYE62LX,positivity
Neil 2012 (Kasese Uganda),positivity,community-or-surveillance,suspected 577 / cultured 63 / conf 25 (positivity 0.40; IP-skew flag),zotero 4Z8V6MKA/VHZAMGH9,positivity
Kabwama 2017 (Kampala),positivity,community-or-surveillance,suspected 10230 / cultured 364 / conf 51 (0.14); tiered defn,zotero 2ARGT7WZ,positivity+tiers
N'Cho 2019 (Harare 2017-18),positivity,community-or-surveillance,suspected 3187 / conf 191; culture subset,zotero RAYYTM4G,positivity
Davis 2018 (Harare 2016-17),positivity,community-or-surveillance,suspected 780 / conf 80 (0.103); MMWR (Zotero copy misfiled - use real MMWR),zotero CTL54YK3 (verify)/web,positivity
Muti 2014 (Dzivaresekwa),positivity,community-or-surveillance,suspected 1078 / conf 24 (0.022); case-control,zotero 8TGV6SMZ,positivity
Qamar 2018 (Hyderabad XDR),positivity,mixed-facility,confirmed-only counts (Type B); positivity among tested,web (Lancet ID),positivity (confirmed-only)
Yousafzai 2019 (Hyderabad XDR),positivity,mixed-facility,confirmed-only XDR counts; positivity among tested,zotero TPH7NURK,positivity (confirmed-only)
Lewis 2005 (Kathmandu),positivity,hospital-referred,hospital-register suspected; culture subset,web (CID),positivity
