"pmid","timeseries","ts_type","period","year","title","reason"
"37274524","yes","dated_counts",NA,"2023","Characterization of Typhoid Intestinal Perforation in Africa: Results From the  Severe Typhoid Fever Surveillance in Africa Program.","Monthly S Typhi case counts correlate with perforation"
"37331795","yes","dated_counts","2016-2021","2024","Epidemiologic Trends and Distributions of Imported Infectious Diseases Among  Travelers to Japan Before and During the COVID-19 Pandemic, 2016 to 2021: A Descriptive Study.","Notified imported case counts by disease and time"
"37759167","yes","dated_counts","2016-2020","2023","Hysteresis effects of different levels of storm flooding on susceptible enteric  infectious diseases in a central city of China.","Daily incidence rates typhoid flooding lag analysis"
"39525079","yes","dated_counts","2018-2022","2024","Locally acquired typhoid fever outbreak linked to chronic carriage in Ottawa,  Canada, 2018-2022.","Seven dated onset cases linked to chronic carrier"
"40230444","yes","dated_counts","Oct2020-Sep2022","2025","Changes in enteric fever trends during the COVID-19 pandemic from the  Surveillance for Enteric Fever in Asia Project: a cross-sectional study.","SEAP enteric fever case counts trend across pandemic"
"40245013","yes","dated_counts",NA,"2025","Assessing the environmental and climatic influences on the incidence of severe  typhoid in Kampala, Uganda.","Ten-year monthly severe typhoid incidence archive Kampala"
"40372181","yes","dated_counts","2017-2023","2025","Typhoid fever in Jakarta, Indonesia 2017-2023: spatial clustering and seasonality  of hospitalization data to inform better intervention.","Village-level monthly hospitalization data with seasonal decomposition Jakarta"
"42419341","yes","dated_counts","2022-2023","2026","Integrating environmental and clinical surveillance for typhoid: insights from a  prospective wastewater surveillance study in urban India.","207 cases with peak dates wastewater correlation study"
"38304948","yes","outbreak_curve","2022","2024","Large outbreak of typhoid fever on a river cruise ship used as accommodation for  asylum seekers, the Netherlands, 2022.","72 cases identified over 47 days cruise ship"
"39100591","yes","outbreak_curve","2022","2024","Typhoid fever: the challenging diagnosis of a pseudo-outbreak in Benguet,  Philippines.","Weekly cases exceeded epidemic threshold pseudo-outbreak"
"39821093","yes","outbreak_curve","2000-2022","2025","Time series data on typhoid fever incidence during outbreaks from 2000 to 2022.","This is the source outbreak time-series dataset itself"
"40563126","yes","outbreak_curve","Apr2024-Sep2024","2025","Outbreak of Ceftriaxone-Resistant Salmonella enterica Serovar Typhi, Bangladesh,  2024.","Outbreak report 47 ceftriaxone-resistant Typhi cases with dates"
"41573761","yes","outbreak_curve","2019","2025","Investigation of an outbreak of typhoid fever in a rural district of East  Malaysia, 2019.","Malaysia outbreak investigation 35 cases over three months"
"36739427","yes","surveillance_trend","2015-2021","2023","Disruption to water supply and waterborne communicable diseases in northeast  Syria: a spatiotemporal analysis.","Weekly EWARN trends include suspected typhoid fever"
"37217879","yes","surveillance_trend","2015-2019","2023","Spatial heterogeneity of socio-economic determinants of typhoid/paratyphoid fever  in one province in central China from 2015 to 2019.","Yearly incidence trend by prefecture Hunan province"
"37221062","yes","surveillance_trend","2004-2020","2023","[Epidemiological characteristics of typhoid fever and paratyphoid fever in China,  2004-2020].","National surveillance annual incidence rates typhoid paratyphoid China"
"37253442","yes","surveillance_trend","2010-2019","2023","Dynamic Incidence of Typhoid Fever over a 10-Year Period (2010-2019) in Kibera,  an Urban Informal Settlement in Nairobi, Kenya.","Annual crude incidence rates reported over ten years"
"37644452","yes","surveillance_trend","2008-2021","2023","Spatio-temporal pattern and associate factors of intestinal infectious diseases  in Zhejiang Province, China, 2008-2021: a Bayesian modeling study.","Annual typhoid case counts spatiotemporal Bayesian model"
"38150409","yes","surveillance_trend","2017-2021","2023","Water and war: The effect of functioning chlorinated water stations in reducing  waterborne diseases during conflict in northwest Syria, 2017-2021.","Weekly surveillance severe typhoid fever incidence Syria"
"38413058","yes","surveillance_trend","2011-2022","2024","[Epidemiological characteristics of typhoid fever in Fujian Province, 2011-2022].","Annual incidence and seasonality reported Fujian province"
"38728649","yes","surveillance_trend","2019-2022","2024","Trends in typhoid fever during the COVID-19 pandemic in Pakistan.","Yearly typhoid positivity trend versus COVID Pakistan"
"39365840","yes","surveillance_trend","1999-2022","2024","Trends in antimicrobial resistance amongst Salmonella Typhi in Bangladesh: A  24-year retrospective observational study (1999-2022).","24-year resistance trend with annual case counts Bangladesh"
"39502396","yes","surveillance_trend","1989-2022","2024","Trends and Spatial Pattern Analysis of Typhoid and Paratyphoid Fever Incidence -  Yunnan Province, China, 1989-2022.","34-year incidence trend and 24 outbreaks Yunnan"
"40270752","yes","surveillance_trend","2001-2020","2025","Spatiotemporal distribution and influencing factors of enteric fever in China: a  cluster analysis based on data from 2001 to 2020.","spatiotemporal wavelet incidence analysis of China cities"
"40494784","yes","surveillance_trend","2013-2022","2025","[Epidemiological characteristics of intestinal infectious diseases in China,  2013-2022].","China intestinal disease annual incidence typhoid paratyphoid trend"
"40642389","yes","surveillance_trend","2018-2023","2025","Modeling the initial impact and predicted future benefits of TCV from two  Pakistani provinces.","Pakistan TCV impact incidence regression across two provinces"
