"study","layer","setting_label","pdf_path"
"Mogasale 2016 (systematic review)","culture_accuracy","n/a","C:/Users/jonghoon.kim/Zotero/storage/FETGANPJ/Mogasale et al. - 2016 - What proportion of Salmonella Typhi cases are dete.pdf"
"Antillon 2018 (volume meta-regression)","culture_accuracy","mixed-facility","C:/Users/jonghoon.kim/Zotero/storage/6FNQL499/Antillon et al. - 2018 - The Relationship Between Blood Sample Volume and D.pdf"
"Thriemer 2012 (Pemba)","clinical_definition;positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/FCJAVDWC/Thriemer et al. - 2012 - The burden of invasive bacterial infections in Pem.pdf"
"Storey 2015 (DTA meta-analysis)","clinical_definition","n/a","C:/Users/jonghoon.kim/Zotero/storage/N6MAP2JM/Storey et al. - 2015 - A Meta-Analysis of Typhoid Diagnostic Accuracy Stu.pdf"
"Mawazo 2019 (Tanzania)","clinical_definition","mixed-facility","C:/Users/jonghoon.kim/Zotero/storage/5PEHN9JS/Mawazo et al. - 2019 - Performance of Widal test and stool culture in the.pdf"
"Darton 2017 (blood culture-PCR)","culture_accuracy","mixed-facility","C:/Users/jonghoon.kim/Zotero/storage/47BQ724N/Darton et al. - 2017 - Blood culture-PCR to optimise typhoid fever diagno.pdf"
"Aye 2004 (Madaya Myanmar)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/8YYE62LX/Aye and Siriarayapon - 2004 - Typhoid fever outbreak in Madaya Township, Mandala.pdf"
"Neil 2012 (Kasese Uganda)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/4Z8V6MKA/Neil et al. - 2012 - A large outbreak of typhoid fever associated with .pdf"
"Kabwama 2017 (Kampala)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/2ARGT7WZ/Kabwama et al. - 2017 - A large and persistent outbreak of typhoid fever c.pdf"
"N'Cho 2019 (Harare 2017-18)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/RAYYTM4G/N'Cho H et al. - 2019 - Notes from the Field Typhoid Fever Outbreak - Har.pdf"
"Davis 2018 (Harare 2016-17)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/CTL54YK3/Davis et al. - 2018 - Notes from the Field Typhoid Fever Outbreak - Harare, Zimbabwe, October 2016-March 2017.pdf"
"Muti 2014 (Dzivaresekwa)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/8TGV6SMZ/Muti et al. - 2014 - Typhoid outbreak investigation in Dzivaresekwa, su.pdf"
"Yousafzai 2019 (Hyderabad XDR)","positivity","mixed-facility","C:/Users/jonghoon.kim/Zotero/storage/TPH7NURK/Yousafzai et al. - 2019 - Ceftriaxone-resistant Salmonella Typhi Outbreak in.pdf"
"Muehlen 2007 (domestic outbreak)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/BF6PNXLW/Muehlen et al. - 2007 - Outbreak of domestically acquired typhoid fever in.pdf"
"Bano-Zaidi 2018","positivity","mixed-facility","C:/Users/jonghoon.kim/Zotero/storage/ZQMHVZ7E/Bano-Zaidi et al. - 2018 - Typhoid fever outbreak with severe complications i.pdf"
"Srinivasan 2022 (Vellore children)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/YHMI8HRX/Srinivasan et al. - 2022 - Outbreak of Typhoid Fever in Children of Urban Vel.pdf"
"Limpitikul 2014 (Songkhla)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/9HKFIEAD/Limpitikul et al. - 2014 - Typhoid outbreak in Songkhla, Thailand 2009-2011 .pdf"
"Bhunia 2009 (South Dumdum)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/JVG88YK8/Bhunia et al. - 2009 - A typhoid fever outbreak in a slum of South Dumdum.pdf"
"Brainard 2018 (DRC)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/EHZL6QVP/Brainard et al. - 2018 - Typhoid fever outbreak in the Democratic Republic .pdf"
"Hechaichi 2023 (Tunisia)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/8TX2TUHE/Hechaichi et al. - 2023 - Outbreak Investigation of Typhoid Fever in the Dis.pdf"
"Mamo 2018 (Ofla Ethiopia)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/NRP884RK/Mamo et al. - 2018 - Typhoid fever outbreak investigation in Ofla Wored.pdf"
"Michel 2005 (Cote d'Ivoire troops)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/HG29X4I6/Michel et al. - 2005 - Outbreak of typhoid fever in vaccinated members of.pdf"
"Wang 2022 (China XDR)","positivity","mixed-facility","C:/Users/jonghoon.kim/Zotero/storage/BPH5R428/Wang et al. - 2022 - Extensively Drug-Resistant (XDR) Salmonella Typhi .pdf"
"Katz 2002 (Florida)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/2BB43G9Q/Katz et al. - 2002 - An outbreak of typhoid Fever in Florida associated.pdf"
"Yoon 2004 (Korea)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/KJWRVYP8/Yoon et al. - 2004 - An outbreak of domestically acquired typhoid fever.pdf"
"Yang/Hh 2001 (Xing-An China)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/WFILNPKU/Yang et al. - 2001 - An outbreak of typhoid fever, Xing-An County, Peop.pdf"
"Misra 2005 (India MDR)","positivity","mixed-facility","C:/Users/jonghoon.kim/Zotero/storage/H4FGW7L2/Misra et al. - 2005 - Outbreak of Multi-drug Resistant Salmonella Typhi .pdf"
"Singla 2013 (subdivision India)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/HHKP6AWB/Singla et al. - 2013 - Outbreak of Salmonella Typhi enteric fever in sub-.pdf"
"Pradier 2000 (French Riviera)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/3IMX82CP/Pradier et al. - 2000 - Outbreak of typhoid fever on the French Riviera.pdf"
"Loharikar 2012 (frozen mamey)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/X55ZAMP5/Loharikar et al. - 2012 - Typhoid fever outbreak associated with frozen mame.pdf"
"Kobayashi 2016 (foodborne)","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/I985QLEY/Kobayashi et al. - 2016 - Case Report An Outbreak of Food-Borne Typhoid Fev.pdf"
"Hancock-Allen 2016","positivity","community-or-surveillance","C:/Users/jonghoon.kim/Zotero/storage/B5STER4I/Hancock-Allen et al. - 2016 - Notes from the Field Typhoid Fever Outbreak Assoc.pdf"
