"study","layer","setting_label","zotero_keys","pdf_path","has_pdf","data_recoverable"
"Akoh 1991 (Zaria)","culture_accuracy","hospital-referred","",NA,FALSE,"2x2+volume"
"Hirsowitz 1951 (Transvaal)","culture_accuracy","hospital-referred","",NA,FALSE,"2x2 (no volume)"
"Farooqui 1991 (Karachi)","culture_accuracy","hospital-referred","",NA,FALSE,"2x2+volume"
"Gasem 1995 (Semarang)","culture_accuracy","hospital-referred","",NA,FALSE,"2x2+volume"
"Gasem 2002 (Semarang)","culture_accuracy","hospital-referred","",NA,FALSE,"2x2+volume"
"Chaicumpa 1992 (Jakarta)","culture_accuracy","hospital-referred","",NA,FALSE,"2x2+volume"
"Wain 2008 (Dong Thap)","culture_accuracy","hospital-referred","",NA,FALSE,"2x2+volume"
"Gilman 1975 (Mexico City)","culture_accuracy","hospital-referred","",NA,FALSE,"2x2 (BM vol NR)"
"Guerra-Caceres 1979 (Lima)","culture_accuracy","hospital-referred","",NA,FALSE,"2x2+volume"
"Vallenas 1985 (Lima)","culture_accuracy","hospital-referred","",NA,FALSE,"2x2 (verify cell d)"
"Wain 2001 (Vietnam bone marrow quantitation)","culture_accuracy","hospital-referred","",NA,FALSE,"partial (overlap risk)"
"Mogasale 2016 (systematic review)","culture_accuracy","n/a","FETGANPJ|XN95ULUY","C:/Users/jonghoon.kim/Zotero/storage/FETGANPJ/Mogasale et al. - 2016 - What proportion of Salmonella Typhi cases are dete.pdf",TRUE,"meta-source"
"Antillon 2018 (volume meta-regression)","culture_accuracy","mixed-facility","6FNQL499|EPIZH3LX|V4HJT5JR","C:/Users/jonghoon.kim/Zotero/storage/6FNQL499/Antillon et al. - 2018 - The Relationship Between Blood Sample Volume and D.pdf",TRUE,"meta-source (volume/Se)"
"Thriemer 2012 (Pemba)","clinical_definition;positivity","community-or-surveillance","FCJAVDWC","C:/Users/jonghoon.kim/Zotero/storage/FCJAVDWC/Thriemer et al. - 2012 - The burden of invasive bacterial infections in Pem.pdf",TRUE,"Se/Sp+positivity"
"Hosoglu 2006 (Turkey)","clinical_definition","hospital-referred","",NA,FALSE,"Se/Sp"
"Ross & Abraham 1987 (Malaysia)","clinical_definition","hospital-referred","",NA,FALSE,"Se/Sp"
"Vollaard 2005 (Jakarta)","clinical_definition","community-or-surveillance","",NA,FALSE,"weak/none"
"Dong 2010 (Hechi China)","clinical_definition","community-or-surveillance","",NA,FALSE,"Se/Sp"
"SEAP clinical-features 2020 (Bangladesh/Nepal/Pakistan)","clinical_definition;positivity","mixed-facility","",NA,FALSE,"PPV/positivity"
"Storey 2015 (DTA meta-analysis)","clinical_definition","n/a","N6MAP2JM","C:/Users/jonghoon.kim/Zotero/storage/N6MAP2JM/Storey et al. - 2015 - A Meta-Analysis of Typhoid Diagnostic Accuracy Stu.pdf",TRUE,"meta-source (Se/Sp)"
"Mawazo 2019 (Tanzania)","clinical_definition","mixed-facility","5PEHN9JS","C:/Users/jonghoon.kim/Zotero/storage/5PEHN9JS/Mawazo et al. - 2019 - Performance of Widal test and stool culture in the.pdf",TRUE,"Se/Sp (serology)"
"Darton 2017 (blood culture-PCR)","culture_accuracy","mixed-facility","47BQ724N","C:/Users/jonghoon.kim/Zotero/storage/47BQ724N/Darton et al. - 2017 - Blood culture-PCR to optimise typhoid fever diagno.pdf",TRUE,"partial"
"Aye 2004 (Madaya Myanmar)","positivity","community-or-surveillance","8YYE62LX","C:/Users/jonghoon.kim/Zotero/storage/8YYE62LX/Aye and Siriarayapon - 2004 - Typhoid fever outbreak in Madaya Township, Mandala.pdf",TRUE,"positivity"
"Neil 2012 (Kasese Uganda)","positivity","community-or-surveillance","4Z8V6MKA|VHZAMGH9","C:/Users/jonghoon.kim/Zotero/storage/4Z8V6MKA/Neil et al. - 2012 - A large outbreak of typhoid fever associated with .pdf",TRUE,"positivity"
"Kabwama 2017 (Kampala)","positivity","community-or-surveillance","2ARGT7WZ","C:/Users/jonghoon.kim/Zotero/storage/2ARGT7WZ/Kabwama et al. - 2017 - A large and persistent outbreak of typhoid fever c.pdf",TRUE,"positivity+tiers"
"N'Cho 2019 (Harare 2017-18)","positivity","community-or-surveillance","RAYYTM4G","C:/Users/jonghoon.kim/Zotero/storage/RAYYTM4G/N'Cho H et al. - 2019 - Notes from the Field Typhoid Fever Outbreak - Har.pdf",TRUE,"positivity"
"Davis 2018 (Harare 2016-17)","positivity","community-or-surveillance","CTL54YK3","C:/Users/jonghoon.kim/Zotero/storage/CTL54YK3/Davis et al. - 2018 - Notes from the Field Typhoid Fever Outbreak - Harare, Zimbabwe, October 2016-March 2017.pdf",TRUE,"positivity"
"Muti 2014 (Dzivaresekwa)","positivity","community-or-surveillance","8TGV6SMZ","C:/Users/jonghoon.kim/Zotero/storage/8TGV6SMZ/Muti et al. - 2014 - Typhoid outbreak investigation in Dzivaresekwa, su.pdf",TRUE,"positivity"
"Qamar 2018 (Hyderabad XDR)","positivity","mixed-facility","",NA,FALSE,"positivity (confirmed-only)"
"Yousafzai 2019 (Hyderabad XDR)","positivity","mixed-facility","TPH7NURK","C:/Users/jonghoon.kim/Zotero/storage/TPH7NURK/Yousafzai et al. - 2019 - Ceftriaxone-resistant Salmonella Typhi Outbreak in.pdf",TRUE,"positivity (confirmed-only)"
"Lewis 2005 (Kathmandu)","positivity","hospital-referred","",NA,FALSE,"positivity"
