"idx","study","country","outbreak_year","setting","suspected","tested_bc","confirmed_bc","positivity","usability","reason","flags","case_definition","notes","stratum","implied_pi"
19,"Bhunia 2009 (South Dumdum)","India","2007","population-surveillance",103,4,1,0.25,"EXCLUDE","too few tested (<20)","foodborne_pointsource|selective_testing|surveillance_program|small_lt20","Fever >=1 week (national syndromic definition), ward-1 resident","","excluded",0.403877221324717
20,"Brainard 2018 (DRC)","Democratic Republic of the Congo","2011","population-surveillance",1430,NA,NA,NA,"EXCLUDE","no confirmed count","selective_testing|surveillance_program","MOPH line-list: fever >=38C >3d + digestive disorder (diarrhea/constipation/abdominal pain) + negative malaria test; confirmed = S. Typhi isolated from blood/bone marrow/duodenal fluid","Only 50 blood/stool samples cultured of 1430 line-list cases; confirmed count not reported","excluded",NA
35,"Carey 2020 (SEAP)","multi-country Asia (Bangladesh/Nepal/Pakistan)","2016","mixed-facility",NA,NA,NA,NA,"EXCLUDE","no confirmed count","surveillance_program,multi-site,methods-review-no-raw-counts","Outpatient: fever >=3 consecutive days in last 7d + catchment + physician-ordered blood culture; Inpatient: clinical suspicion or confirmed enteric fever or nontraumatic ileal perforation; lab-confirmed = BC positive S. Typhi/Paratyphi A only","No numerator/denominator given; only phase-1 BC-positivity range 0.43-2% across BGD/NPL/PAK/IND sites","excluded",NA
12,"Davis 2018 (Harare 2016-17)",NA,NA,NA,NA,NA,NA,NA,"EXCLUDE","misfiled/unreadable PDF","",NA,"MISFILED: N'cho 2019 paper (2017-18 outbreak), not Davis 2018","excluded",NA
38,"Hancuh 2023 (Kenya)","Kenya",NA,"population-surveillance",NA,NA,NA,NA,"EXCLUDE","no confirmed count","surveillance_program",NA,"Kenya only in 44-country high-incidence list; no case counts reported","excluded",NA
21,"Hechaichi 2023 (Tunisia)","Tunisia","2016","community",187,NA,74,NA,"EXCLUDE","no blood-culture-tested denominator","selective_testing","suspected: >=1 of torpor/diarrhea/constipation/vomiting/abdominal pain; confirmed: S.Typhi isolation from blood/bone marrow/bowel fluid/stool; probable: epi-link to confirmed","Confirmed via multiple specimen types not only blood culture","excluded",NA
25,"Katz 2002 (Florida)","USA","1998-1999","hospital-referred",17,16,15,0.9375,"EXCLUDE","too few tested (<20)","foodborne_pointsource|high_income_country|surveillance_program|hospital_referred|small_lt20","Confirmed=febrile illness (onset after 31 Oct 1998) + stool/blood/urine culture positive for S. Typhi by state central lab; probable=same but positive at any other lab",NA,"excluded",1
18,"Limpitikul 2014 (Songkhla)","Thailand","2009-2011","hospital-referred",NA,NA,368,NA,"EXCLUDE","no blood-culture-tested denominator","foodborne_pointsource|confirmed_only|hospital_referred","children <15y, blood-culture-confirmed S. Typhi (BD Phoenix system)",NA,"excluded",NA
22,"Mamo 2018 (Ofla Ethiopia)","Ethiopia","2016","community",98,0,0,NA,"EXCLUDE","no blood-culture-tested denominator","selective_testing","suspected: gradual/steady fever, chills, malaise, headache, +/- abdominal pain/constipation/diarrhea; study 'confirmed'=Widal O>=1/160, not culture","No blood culture done; only 9/98 tested via Widal serology (antibiotics prevented culture)","excluded",NA
23,"Michel 2005 (Cote d'Ivoire troops)","Cote d'Ivoire","2001","population-surveillance",24,6,5,0.833333333333333,"EXCLUDE","too few tested (<20)","foodborne_pointsource|selective_testing|surveillance_program","rectal temp >=38.5C + chill/headache/GI/neuro sx; confirmed=BC or seroconversion",NA,"excluded",1
15,"Muehlen 2007 (domestic outbreak)","Germany","2004","community",6,6,4,0.666666666666667,"EXCLUDE","too few tested (<20)","foodborne_pointsource|high_income_country|small_lt20","Suspected: fever>=38.5C >=3d since 1 May 2004; Probable: +positive serology (Widal/ELISA); Confirmed: S. Typhi from blood/stool culture",NA,"excluded",1
13,"Muti 2014 (Dzivaresekwa)","Zimbabwe","2011","population-surveillance",1078,NA,24,NA,"EXCLUDE","no blood-culture-tested denominator","surveillance_program|selective_testing","fever >3 days with malaise, headache, vomiting, diarrhea/constipation, cough","Confirmed cases from stool/urine/blood combined, not blood-culture-specific","excluded",NA
29,"Singla 2013 (subdivision India)","India","2009","hospital-referred",NA,NA,18,NA,"EXCLUDE","no blood-culture-tested denominator","confirmed_only|selective_testing|hospital_referred|small_lt20","BC+ S. Typhi in Ram Darbar residents (retrospective epi-link)","27 total BC+ isolates in lab window; 18 epi-linked to outbreak area","excluded",NA
17,"Srinivasan 2022 (Vellore children)","India","2019","population-surveillance",NA,NA,51,NA,"EXCLUDE","no blood-culture-tested denominator","surveillance_program|confirmed_only","Fever >=3 days (cohort surveillance definition), blood-culture confirmed S. Typhi","SEFI active cohort surveillance; only confirmed count (51) reported, no suspected/tested denominators","excluded",NA
34,"von Kalckreuth 2016 (TSAP)","multi-country Africa","2011","population-surveillance",NA,NA,NA,NA,"EXCLUDE","no confirmed count","surveillance_program","Fever: tympanic/axillary >=38.0C or >=37.5C (outpatients); or >=38.0C/>=37.5C or reported fever <=72h (inpatients)","Methods-only paper (13 sites/10 countries); no aggregate suspected/tested/confirmed counts given","excluded",NA
28,"Misra 2005 (India MDR)","India","2000","hospital-referred",150,150,93,0.62,"USABLE_outbreak","community-outbreak; selective testing","foodborne_pointsource|hospital_referred","Clinical enteric fever (fever >8d ± hepatosplenomegaly/abdominal pain/diarrhoea), incl. BC/Widal-negative","Abstract states 92(63%) BC+; body text states 93(62%)/150; used body text value","endemic surveillance (all-tested)",1
11,"N'Cho 2019 (Harare 2017-18)","Zimbabwe","2017-2018","hospital-referred",583,286,74,0.258741258741259,"USABLE_outbreak","hospital case-mgmt review subset (286 tested); whole outbreak 3187/191 lacks tested denom","selective_testing|hospital_referred","Fever + >=1 of headache/malaise/abdominal pain/vomiting/diarrhea/cough/constipation; confirmed = Typhi from blood/stool/rectal swab culture","Hospital cohort subset (Oct-Dec 2017); full outbreak had 3187 suspected/191 confirmed","outbreak (selective testing)",0.417998802489917
40,"Andrews 2018 (Nepal)","Nepal","2013","mixed-facility",4309,4309,87,0.0201902993734045,"USABLE_surveillance","all-tested surveillance (endemic stratum)","surveillance_program",">72-hour history of fever, acute febrile illness","4 peri-urban/rural facilities; S. Typhi only, excludes 22 S. Paratyphi","endemic surveillance (all-tested)",0.0326176080345792
8,"Aye 2004 (Madaya Myanmar)","Myanmar","2000","mixed-facility",49,22,3,0.136363636363636,"USABLE_surveillance","all-tested surveillance (endemic stratum)","selective_testing|surveillance_program|hospital_referred","Suspected: fever>=7d + >=1 of constipation/abdominal pain/diarrhoea/bloody diarrhoea/malaena","Culture done on 22/49 suspected (subset already diazo/widal positive); 3 culture-confirmed","outbreak (selective testing)",0.220296666177119
10,"Kabwama 2017 (Kampala)","Uganda","2015","population-surveillance",10230,364,56,0.153846153846154,"USABLE_surveillance","all-tested surveillance (endemic stratum)","selective_testing|surveillance_program","Suspected: fever>=37.5C >=3d + headache + abdominal pain + neg malaria test/failed antimalarial tx + >=2 of (diarrhea, nausea/vomiting, constipation, fatigue); Confirmed: blood culture yielding S. Typhi",NA,"outbreak (selective testing)",0.248539828507518
36,"Meiring 2021 (STRATAA)","multi-country","2016","population-surveillance",12082,12082,624,0.051647078298295,"USABLE_surveillance","all-tested surveillance (endemic stratum)","surveillance_program","Fever >=48-72h or temp >=38.0C, presenting to study facility in census area","Overall 3-site total; confirmed=S Typhi only (excludes 108 S Paratyphi A, 16 Typhimurium)","endemic surveillance (all-tested)",0.0834363138906219
9,"Neil 2012 (Kasese Uganda)","Uganda","2008-2009","mixed-facility",577,54,19,0.351851851851852,"USABLE_surveillance","all-tested surveillance (endemic stratum)","selective_testing|surveillance_program","fever+abdominal pain plus >=1 of GI symptoms, weakness, arthralgia, headache, no antimalarial response, or IP","577 suspected total; blood culture 19/54 pos, overall 27/81 any culture","outbreak (selective testing)",0.568419792975528
37,"Srikantiah 2006 (Egypt)","Egypt","2002","population-surveillance",1815,1815,90,0.0495867768595041,"USABLE_surveillance","all-tested surveillance (endemic stratum)","surveillance_program;multi_tier_sampling","age >=1y, temp >38C, plus (fever >2d no cause OR clinical suspected typhoid)","5-tier provider surveillance; 18% cultures contaminated","endemic surveillance (all-tested)",0.0801078786098613
4,"Thriemer 2012 (Pemba)","Tanzania","2009","population-surveillance",3105,2209,46,0.0208239022181983,"USABLE_surveillance","all-tested surveillance (endemic stratum)","surveillance_program;multi_hospital;low_malaria_area","Fever (tympanic >=37.5C) at OPD or history of fever if admitted, age >2 months","Three-hospital fever surveillance, Pemba Zanzibar, 2009-2010; S. Typhi leading isolate.","endemic surveillance (all-tested)",0.0336411990600942
