"pmid","title","language","decision","layer","reason","citation_chase","language_exclude"
"10475185","Typhoid fever in children aged less than 5 years.","eng","include","L3","Community surveillance under-5; culture-positive typhoid incidence","no","no"
"10548305","Rapid serologic diagnosis of pediatric typhoid fever in an endemic area: a  prospective comparative evaluation of two dot-enzyme immunoassays and the Widal test.","eng","include","L3","97 suspected children; blood culture-confirmed 46; Typhidot Widal","no","no"
"10807074","Differentiation of typhoid fever from fulminant hepatic failure in patients  presenting with jaundice and encephalopathy.","eng","include","L2","Clinical/lab features differentiating typhoid from hepatic failure; culture reference","no","no"
"10829903","An outbreak of multidrug resistant typhoid fever in Bangalore.","eng","include","L3","clinically-diagnosed children; 25.7% blood-culture positive","no","no"
"10937381","Occurrence of Salmonella typhi infection in Rourkela, Orissa.","eng","include","L3","7866 blood bone marrow samples; S. typhi positivity 12.56 percent","no","no"
"11092435","Investigation of concurrent outbreaks of gastroenteritis and typhoid fever  following a party on a floating restaurant, France, March 1998.","eng","include","L3","France floating restaurant outbreak; 27 typhoid; 15 culture-confirmed","no","no"
"11217269","Multidrug resistant Salmonella typhi in Rourkela, Orissa.","eng","include","L3","5410 blood samples; S. typhi positivity 13.2 percent; MDR","no","no"
"11283089","Quantitation of bacteria in bone marrow from patients with typhoid fever:  relationship between counts and clinical features.","eng","include","multiple","120 suspected 89 confirmed; blood versus bone-marrow bacterial counts","no","no"
"11289678","The epidemiology of typhoid fever in the Dong Thap Province, Mekong Delta region  of Vietnam.","eng","include","L3","Vietnam population surveillance; 658 blood cultures; 8.5 percent positivity","no","no"
"11368111","Typhoid fever in Bangladesh: implications for vaccination policy.","eng","include","L3","Laboratory-based study; S. typhi blood culture isolation rates","no","no"
"11523761","Serum C-reactive protein concentrations in Malaysian children with enteric fever.","eng","include","L3","227 febrile children; culture-positive 108; CRP diagnostic value","no","no"
"1166856","Waterborne typhoid fever in Dade County, Florida. Clinical and therapeutic  evaluation of 105 bacteremic patients.","eng","include","L3","waterborne typhoid outbreak; 105 of 188 bacteremic","no","no"
"11681112","Changing trends in outcome of typhoid ileal perforations over three decades in  Pondicherry.","eng","include","L1","blood and bone marrow culture positivity reported","no","no"
