"pmid","doi","year","ts_type","period","title"
"37274524","10.1093/ofid/ofad138","2023","dated_counts",NA,"Characterization of Typhoid Intestinal Perforation in Africa: Results From the  Severe Typhoid Fever Surveillance in Africa Program."
"37331795","10.2188/jea.JE20230025","2024","dated_counts","2016-2021","Epidemiologic Trends and Distributions of Imported Infectious Diseases Among  Travelers to Japan Before and During the COVID-19 Pandemic, 2016 to 2021: A Descriptive Study."
"37759167","10.1186/s12889-023-16754-w","2023","dated_counts","2016-2020","Hysteresis effects of different levels of storm flooding on susceptible enteric  infectious diseases in a central city of China."
"39525079","10.14745/ccdr.v50i11a05","2024","dated_counts","2018-2022","Locally acquired typhoid fever outbreak linked to chronic carriage in Ottawa,  Canada, 2018-2022."
"40230444","10.1016/j.lansea.2025.100562","2025","dated_counts","Oct2020-Sep2022","Changes in enteric fever trends during the COVID-19 pandemic from the  Surveillance for Enteric Fever in Asia Project: a cross-sectional study."
"40245013","10.1371/journal.pgph.0004214","2025","dated_counts",NA,"Assessing the environmental and climatic influences on the incidence of severe  typhoid in Kampala, Uganda."
"40372181","10.4081/gh.2025.1372","2025","dated_counts","2017-2023","Typhoid fever in Jakarta, Indonesia 2017-2023: spatial clustering and seasonality  of hospitalization data to inform better intervention."
"42419341","10.1016/j.lanmic.2026.101414","2026","dated_counts","2022-2023","Integrating environmental and clinical surveillance for typhoid: insights from a  prospective wastewater surveillance study in urban India."
"38304948","10.2807/1560-7917.ES.2024.29.5.2300211","2024","outbreak_curve","2022","Large outbreak of typhoid fever on a river cruise ship used as accommodation for  asylum seekers, the Netherlands, 2022."
"39100591","10.5365/wpsar.2024.15.3.1047","2024","outbreak_curve","2022","Typhoid fever: the challenging diagnosis of a pseudo-outbreak in Benguet,  Philippines."
"39821093","10.1038/s41597-024-04289-7","2025","outbreak_curve","2000-2022","Time series data on typhoid fever incidence during outbreaks from 2000 to 2022."
"40563126","10.3201/eid3107.241987","2025","outbreak_curve","Apr2024-Sep2024","Outbreak of Ceftriaxone-Resistant Salmonella enterica Serovar Typhi, Bangladesh,  2024."
"41573761","10.5365/wpsar.2024.16.4.1200","2025","outbreak_curve","2019","Investigation of an outbreak of typhoid fever in a rural district of East  Malaysia, 2019."
