"tau","vacc_cov","pct","averted"
1,"0.65",64.0018859831749,4664.77832191163
2,"0.65",62.5945462761038,4570.93406365674
4,"0.65",58.1080133574209,3679.34618300377
6,"0.65",53.4116521139877,2978.52840533099
8,"0.65",36.5794134046968,2041.62441624553
10,"0.65",37.1277197377841,1239.92293602693
12,"0.65",31.4905044714388,960.375360661619
1,"0.8",74.1159907127891,5346.75294939829
2,"0.8",73.1263355595742,5241.14524413067
4,"0.8",67.4731432097996,4197.58124654367
6,"0.8",61.0935412833746,3386.54686598913
8,"0.8",42.7885715186267,2329.71385953552
10,"0.8",44.1232004614991,1381.3874445419
12,"0.8",36.8257854247213,1056.60794076185
1,"0.9",79.3628342623959,5756.47439968338
2,"0.9",78.1517544832082,5642.99357530324
4,"0.9",71.7981944381609,4506.35431009933
6,"0.9",65.5505903023303,3623.11688271445
8,"0.9",46.6554888087233,2505.33206677672
10,"0.9",48.4598625392119,1466.33977738569
12,"0.9",40.0521441438668,1114.42227796875
