vacc_week,vacc_cov,cases_averted,pct_cases_averted,cost_per_daly_averted,cost_per_case_averted,cost_per_death_averted,case_averted_per_1000
4,0.65,"445.4 (237.2, 984.6)","60 (59.5, 60.8)","67268 (13521, 151113)","1578 (425, 2443)","0 (0, 0)","1.3 (1, 6)"
8,0.65,"355.4 (209.4, 539.4)","58.8 (37.2, 60.3)","71410 (19192, 153364)","1584 (564, 2489)","0 (0, 0)","1.3 (1, 4)"
16,0.65,"157.8 (35.8, 333.1)","52.6 (12.4, 58)","65339 (1617, 160727)","1629 (236, 2880)","0 (0, 0)","1 (0.8, 1.2)"
32,0.65,"50.4 (0, 286.1)","17.2 (0, 46.1)","3338 (0, 146147)","487 (0, 2934)","0 (0, 0)","0.8 (0.7, 1)"
4,0.8,"521.3 (276.9, 1149.8)","70 (69.4, 71)","71138 (14381, 159528)","1679 (456, 2578)","0 (0, 0)","1.2 (1, 5.7)"
8,0.8,"415.6 (244.9, 631.9)","68.6 (43.5, 70.3)","75419 (20546, 161930)","1684 (602, 2626)","0 (0, 0)","1.2 (1, 3.8)"
16,0.8,"184.3 (41.9, 388.6)","61.4 (14.5, 67.7)","69121 (1748, 169777)","1732 (255, 3037)","0 (0, 0)","1 (0.8, 1.2)"
32,0.8,"58.9 (0, 333.9)","20.1 (0, 53.9)","3604 (0, 154342)","526 (0, 3103)","0 (0, 0)","0.7 (0.7, 1)"
4,0.9,"571.8 (303.3, 1259.9)","76.7 (76, 77.7)","73156 (14827, 163919)","1731 (472, 2648)","0 (0, 0)","1.2 (1, 5.6)"
8,0.9,"455.8 (268.5, 693.6)","75.1 (47.8, 77.1)","77510 (21259, 166399)","1736 (622, 2697)","0 (0, 0)","1.2 (0.9, 3.7)"
16,0.9,"201.8 (45.9, 425.6)","67.3 (15.9, 74.1)","71107 (1815, 174482)","1787 (265, 3120)","0 (0, 0)","0.9 (0.8, 1.1)"
32,0.9,"64.6 (0, 365.8)","22.1 (0, 59)","3743 (0, 158574)","547 (0, 3191)","0 (0, 0)","0.7 (0.7, 1)"
