"study","set","fever_dur","n_sym","exclude","gate","strictness"
"Dhadwal 2008","anchor",0,0,0,0,0
"Makungo 2020","anchor",0,1,0,0,1
"N'Cho 2019","anchor",0,1,0,0,1
"Neil 2012","anchor",0,1,0,1,2
"Aye 2004","anchor",2,1,0,0,3
"Kabwama 2017","anchor",1,2,1,0,4
"Hu 2022","anchor",1,2,1,0,4
"Swaddiwudhipong 2001","anchor",1,3,1,0,5
"Lewis 2005","unanchored",0,0,0,0,0
"Polonsky 2014, Dzivaresekwa","unanchored",0,1,0,0,1
"Polonsky 2014_Kuwadzana","unanchored",0,1,0,0,1
"Muti 2014","unanchored",1,1,0,0,2
"Qamar 2018","unanchored",1,0,1,0,2
"Davis 2018","unanchored",0,3,0,0,3
"Ali 2017","unanchored",1,1,1,0,3
"Muyembe-Tamfum 2009","unanchored",0,0,0,3,3
"Yousafzai 2019","unanchored",1,0,1,2,4
