evidence_layer,judgment_type,domain,judgment,n_estimates
clinical_definition_ppv,risk_of_bias,participants,low,6
clinical_definition_ppv,risk_of_bias,participants,high,20
clinical_definition_ppv,risk_of_bias,participants,insufficient_information,0
clinical_definition_ppv,risk_of_bias,index_test,low,18
clinical_definition_ppv,risk_of_bias,index_test,high,7
clinical_definition_ppv,risk_of_bias,index_test,insufficient_information,1
clinical_definition_ppv,risk_of_bias,target_condition,low,0
clinical_definition_ppv,risk_of_bias,target_condition,high,26
clinical_definition_ppv,risk_of_bias,target_condition,insufficient_information,0
clinical_definition_ppv,risk_of_bias,analysis,low,8
clinical_definition_ppv,risk_of_bias,analysis,high,18
clinical_definition_ppv,risk_of_bias,analysis,insufficient_information,0
clinical_definition_ppv,risk_of_bias,overall,low,0
clinical_definition_ppv,risk_of_bias,overall,high,26
clinical_definition_ppv,risk_of_bias,overall,insufficient_information,0
clinical_definition_ppv,applicability,participants,low,1
clinical_definition_ppv,applicability,participants,high,25
clinical_definition_ppv,applicability,participants,insufficient_information,0
clinical_definition_ppv,applicability,index_test,low,11
clinical_definition_ppv,applicability,index_test,high,15
clinical_definition_ppv,applicability,index_test,insufficient_information,0
clinical_definition_ppv,applicability,target_condition,low,24
clinical_definition_ppv,applicability,target_condition,high,2
clinical_definition_ppv,applicability,target_condition,insufficient_information,0
clinical_definition_ppv,applicability,overall,low,0
clinical_definition_ppv,applicability,overall,high,26
clinical_definition_ppv,applicability,overall,insufficient_information,0
paired_blood_bone_marrow,risk_of_bias,participants,low,1
paired_blood_bone_marrow,risk_of_bias,participants,high,4
paired_blood_bone_marrow,risk_of_bias,participants,insufficient_information,4
paired_blood_bone_marrow,risk_of_bias,index_test,low,0
paired_blood_bone_marrow,risk_of_bias,index_test,high,0
paired_blood_bone_marrow,risk_of_bias,index_test,insufficient_information,9
paired_blood_bone_marrow,risk_of_bias,target_condition,low,0
paired_blood_bone_marrow,risk_of_bias,target_condition,high,9
paired_blood_bone_marrow,risk_of_bias,target_condition,insufficient_information,0
paired_blood_bone_marrow,risk_of_bias,analysis,low,2
paired_blood_bone_marrow,risk_of_bias,analysis,high,0
paired_blood_bone_marrow,risk_of_bias,analysis,insufficient_information,7
paired_blood_bone_marrow,risk_of_bias,overall,low,0
paired_blood_bone_marrow,risk_of_bias,overall,high,9
paired_blood_bone_marrow,risk_of_bias,overall,insufficient_information,0
paired_blood_bone_marrow,applicability,participants,low,1
paired_blood_bone_marrow,applicability,participants,high,4
paired_blood_bone_marrow,applicability,participants,insufficient_information,4
paired_blood_bone_marrow,applicability,index_test,low,8
paired_blood_bone_marrow,applicability,index_test,high,0
paired_blood_bone_marrow,applicability,index_test,insufficient_information,1
paired_blood_bone_marrow,applicability,target_condition,low,9
paired_blood_bone_marrow,applicability,target_condition,high,0
paired_blood_bone_marrow,applicability,target_condition,insufficient_information,0
paired_blood_bone_marrow,applicability,overall,low,1
paired_blood_bone_marrow,applicability,overall,high,4
paired_blood_bone_marrow,applicability,overall,insufficient_information,4
