study_id,renewal_set,household_SAR,secondary_per_index,contact_OR,attributable_fraction,prop_secondary,direct_R_method,carrier,serial_interval,dominant_mode,anchor_type,confidence,evidence_note,citation
Aye 2004,Y,NR,NR,22 (95% CI 3.5-76.2); def: history of contact with a typhoid patient before illness (adjusted),NR,NR,NR,NR,NR,water,independent_ordinal,med,Strong adjusted contact OR but NO denominator/SAR; waterborne primary (river adjOR 12.5); ordinal signal only,"Aye & Siriarayapon 2004, J Med Assoc Thai"
Lewis 2005,Y,NR,NR,NR (case-control not possible),NR,NR,NR,NR,NR,water,none,high,Single-point-source municipal water (PFGE-matched); case-control not done; no p2p quantity,"Lewis et al. 2005, Clin Infect Dis"
Muyembe-Tamfum 2009,Y,NR,NR,NR,NR,NR,NR,NR,NR,water,none,low,Asserts waterborne with predominant person-to-person but unquantified; no SAR/OR/R,"Muyembe-Tamfum et al. 2009, Travel Med Infect Dis"
Neil 2012,Y,NR,NR,NR,NR,NR,NR,NR,NR,water,none,med,Surveillance/case-series; no contact tracing; water suspected; multi-strain,"Neil et al. 2012, Clin Infect Dis"
Ali 2017,Y,NR,NR,NR (latrine-sharing camp-vs-pop chi-square P=0.02 only; ecological/confounded),NR,NR,NR,NR,NR,water,none,med,Spatial hotspot study; shared-latrine assoc is ecological camp comparison not a p2p anchor,"Ali et al. 2017, Pan Afr Med J"
"Polonsky 2014, Dzivaresekwa",Y,NR,NR,NR (case-control not feasible),NR,5.3% (135/2570; pooled both suburbs; subsequent case-patients at same residential address),NR,NR,NR,water,independent_level,med,Best quantitative anchor with denominator; long-cycle (community) > short-cycle (household); pooled across suburbs,"Polonsky et al. 2014, PLoS ONE"
Polonsky 2014_Kuwadzana,Y,NR,NR,NR (case-control not feasible),NR,5.3% (135/2570; pooled both suburbs; same residential address),NR,NR,NR,water,independent_level,med,Same pooled prop-secondary; not split per suburb,"Polonsky et al. 2014, PLoS ONE"
Muti 2014,Y,NR,NR,8.34 (95% CI 3.82-18.18); def: typhoid contact at home (cases 41.7% vs controls 10.5%; adjusted),NR,NR,NR,NR,NR,water,independent_ordinal,high,Adjusted home-contact OR (no denominator/SAR); propagated epicurve; waterborne primary; ordinal,"Muti et al. 2014, Pan Afr Med J"
Kabwama 2017,Y,NR,NR,NR (only water/beverage exposures measured),NR,NR,NR,NR,NR,water,none,high,Case-control measured only water/food (vended water OR 8.9; juice 4.6); no household/contact exposures,"Kabwama et al. 2017, BMC Public Health"
Qamar 2018,Y,NR,NR,3.81 (95% CI 2.12-6.83); def: contact with a person with typhoid in 4 wk before illness (18.5% vs 5.5%; adjusted),NR,NR,NR,NR,NR,water,independent_ordinal,high,Adjusted contact OR (no denominator/SAR); propagated 2-wk peaks; waterborne (sewage); ordinal,"Qamar et al. 2018, Lancet Infect Dis"
Davis 2018,Y,NR,NR,NR,NR,NR,NR,NR,NR,water,none,low,Zotero PDF misfiled (yellow fever); not assessed; analogy to Harare waterborne outbreaks,"Davis et al. 2018, MMWR (PDF misfiled)"
Yousafzai 2019,Y,NR,NR,NR (case-control not yet concluded at report),NR,NR,NR,NR,NR,water,none,high,Preliminary report; case-control incomplete; waterborne inferred (sewage-line clustering),"Yousafzai et al. 2019, Clin Infect Dis"
N'Cho 2019,Y,NR,NR,NR,NR,NR,NR,NR,NR,water,none,med,MMWR note; no contact tracing/R/SAR; waterborne (boreholes/wells),"N'Cho et al. 2019, MMWR"
Michel 2005,N,NR,0 (none observed),NR,NR,0% (explicit: no person-to-person secondary cases),NR,food handlers S. Takoradi not Typhi (2/4),incubation median 24 d,food,independent_level,high,EXCLUDED from pipeline; food point-source (cucumber salad RR 3.6); explicit lower anchor R_tr~0,"Michel et al. 2005, Eur J Epidemiol"
